Quarter,Time,Tm,Detail,PIT,NYG
1.0,10:34,Giants,Graham Gano 21 yard field goal,0,3
,0:49,Steelers,Chris Boswell 41 yard field goal,3,3
2.0,13:45,Giants,Darius Slayton 41 yard pass from Daniel Jones (Graham Gano kick),3,10
,9:01,Steelers,JuJu Smith-Schuster 10 yard pass from Ben Roethlisberger (Chris Boswell kick failed),9,10
,0:07,Steelers,James Washington 13 yard pass from Ben Roethlisberger (Chris Boswell kick),16,10
4.0,14:19,Steelers,Chris Boswell 36 yard field goal,19,10
,5:23,Steelers,JuJu Smith-Schuster 8 yard pass from Ben Roethlisberger (Chris Boswell kick),26,10
,1:52,Giants,Darius Slayton 7 yard pass from Daniel Jones (pass failed),26,16
