Unnamed: 0,PIT,NYG
First Downs,19,20
Rush-Yds-TDs,30-141-0,20-29-0
Cmp-Att-Yd-TD-INT,21-32-229-3-0,26-41-279-2-2
Sacked-Yards,2-21,3-17
Net Pass Yards,208,262
Total Yards,349,291
Fumbles-Lost,3-1,0-0
Turnovers,1,2
Penalties-Yards,3-21,4-25
Third Down Conv.,8-15,8-15
Fourth Down Conv.,1-1,1-1
Time of Possession,31:44,28:16
