Unnamed: 0,DAL,NYJ
First Downs,21,19
Rush-Yds-TDs,26-64-1,16-45-0
Cmp-Att-Yd-TD-INT,23-36-342-2-1,26-44-335-2-1
Sacked-Yards,4-16,4-20
Net Pass Yards,326,315
Total Yards,390,360
Fumbles-Lost,3-2,3-1
Turnovers,3,2
Penalties-Yards,7-40,0-0
Third Down Conv.,4-12,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:53,26:07
