Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 55 yards, returned by John Phillips for 16 yards (tackle by Nick Bellore)",0.000,0.670
1,14:54,1,10,DAL 26,0,0,Tony Romo pass complete short right to Felix Jones for 11 yards,0.670,1.400
1,14:36,1,10,DAL 37,0,0,Felix Jones left tackle for 4 yards (tackle by David Harris),1.400,1.400
1,14:02,2,6,DAL 41,0,0,Tony Romo pass complete short middle to Dez Bryant for 42 yards (tackle by Eric Smith),1.400,4.440
1,13:24,1,10,NYJ 17,0,0,Felix Jones right end for 3 yards (tackle by Bart Scott),4.440,4.320
1,12:46,2,7,NYJ 14,0,0,Tony Romo left tackle for 3 yards (tackle by Darrelle Revis),4.320,4.100
1,12:02,3,4,NYJ 11,0,0,Tony Romo pass complete short right to Kevin Ogletree for 5 yards (tackle by Darrelle Revis),4.100,5.830
1,11:05,1,6,NYJ 6,0,0,Felix Jones right guard for 3 yards (tackle by Mike DeVito),5.830,5.530
1,10:39,2,3,NYJ 3,0,0,Tony Romo pass incomplete short right intended for Miles Austin,5.530,4.720
1,10:33,3,3,NYJ 3,6,0,"Tony Romo pass complete short left to Dez Bryant for 3 yards, touchdown",4.720,7.000
1,,,,,6,0,"Penalty on Tyron Smith: False Start, 5 yards (no play)",0.000,0.000
1,,,,NYJ 2,7,0,Dan Bailey kicks extra point good,0.000,0.000
1,,,,DAL 35,7,0,"David Buehler kicks off 62 yards, returned by Antonio Cromartie for 19 yards (tackle by Victor Butler)",0.000,0.410
1,10:21,1,10,NYJ 22,7,0,Mark Sanchez sacked by DeMarcus Ware for -5 yards,0.410,-0.940
1,9:46,2,15,NYJ 17,7,0,Mark Sanchez pass complete short right to Santonio Holmes for 5 yards (tackle by Orlando Scandrick),-0.940,-0.820
1,9:08,3,10,NYJ 22,7,0,Mark Sanchez pass complete short right to Santonio Holmes for 6 yards (tackle by Sean Lee),-0.820,-1.500
1,8:37,4,4,NYJ 28,7,0,"T.J. Conley punts 48 yards, returned by Dez Bryant for 12 yards (tackle by Isaiah Trufant)",-1.500,-1.330
1,8:25,1,10,DAL 36,7,0,Felix Jones right end for 2 yards (tackle by Antonio Cromartie),1.330,1.060
1,7:48,2,8,DAL 38,7,0,Tony Romo pass incomplete short middle intended for Jason Witten,1.060,0.370
1,7:38,3,8,DAL 38,7,0,Tony Romo pass complete deep right to Dez Bryant for 26 yards (tackle by Jim Leonhard and Darrelle Revis),0.370,3.180
1,7:17,,,,7,0,Timeout #1 by Dallas Cowboys,0.000,3.180
1,7:17,1,10,NYJ 36,7,0,Tashard Choice up the middle for 2 yards (tackle by Marcus Dixon),3.180,2.910
1,6:38,2,8,NYJ 34,7,0,Tony Romo sacked by Bart Scott for -7 yards,2.910,1.290
1,6:38,3,15,NYJ 41,7,0,"Penalty on DAL: Illegal Substitution, 5 yards (no play)",1.290,0.630
1,5:39,3,20,NYJ 46,7,0,"Penalty on Tony Romo: Delay of Game, 5 yards (no play)",0.630,-0.030
1,5:14,3,25,DAL 49,7,0,Tony Romo pass complete short left to Tashard Choice for 5 yards (tackle by Kyle Wilson),-0.030,0.200
1,4:39,4,20,NYJ 46,7,0,"Mat McBriar punts 32 yards, muffed catch by Jeremy Kerley, ball out of bounds at NYJ-16",0.200,0.140
1,4:31,1,10,NYJ 16,7,0,Shonn Greene up the middle for 5 yards (tackle by Keith Brooking),-0.140,0.150
1,3:53,2,5,NYJ 21,7,0,"Mark Sanchez right guard for 3 yards (tackle by Anthony Spencer). Mark Sanchez fumbles (forced by Anthony Spencer), recovered by Matthew Mulligan at NYJ-33. Penalty on DeMarcus Ware: Defensive Offside (Declined)",0.150,1.140
1,3:20,1,10,NYJ 33,7,0,Shonn Greene left guard for 4 yards (tackle by Jason Hatcher),1.140,1.130
1,2:43,2,6,NYJ 37,7,0,Mark Sanchez pass complete short left to Shonn Greene for 7 yards (tackle by Mike Jenkins),1.130,1.860
1,2:02,1,10,NYJ 44,7,0,Shonn Greene right tackle for 1 yard (tackle by Anthony Spencer),1.860,1.450
1,1:23,2,9,NYJ 45,7,0,Mark Sanchez pass complete short left to LaDainian Tomlinson for 5 yards (tackle by Sean Lee),1.450,1.420
1,0:54,3,4,,7,0,Mark Sanchez pass complete short left to Santonio Holmes for 8 yards (tackle by Barry Church),1.420,2.790
1,0:18,1,10,DAL 42,7,0,LaDainian Tomlinson right tackle for 4 yards (tackle by Sean Lee),2.790,2.780
Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,DAL 38,7,0,Mark Sanchez pass incomplete short left intended for Santonio Holmes,2.780,2.080
2,14:57,3,6,DAL 38,7,0,Mark Sanchez pass incomplete deep left intended for Plaxico Burress,2.080,0.720
2,14:51,4,6,DAL 38,7,0,T.J. Conley punts 31 yards,0.720,0.380
2,14:42,1,10,DAL 7,7,0,Felix Jones right guard for 1 yard (tackle by David Harris),-0.380,-0.710
2,14:02,2,9,DAL 8,7,0,Tony Romo sacked by Eric Smith for -4 yards,-0.710,-1.770
2,13:29,3,13,DAL 4,7,0,Tashard Choice left tackle for 2 yards (tackle by David Harris),-1.770,-2.490
2,12:55,4,11,DAL 6,7,0,"Mat McBriar punts 47 yards, returned by Jeremy Kerley for 7 yards (tackle by Sean Lee)",-2.490,-2.520
2,12:44,1,10,DAL 46,7,0,Mark Sanchez pass incomplete short right intended for John Conner,2.520,1.980
2,12:39,2,10,DAL 46,7,0,LaDainian Tomlinson right tackle for 2 yards (tackle by Jason Hatcher),1.980,1.550
2,11:56,3,8,DAL 44,7,0,Mark Sanchez pass incomplete short left intended for Santonio Holmes,1.550,0.330
2,11:52,4,8,DAL 44,7,0,"T.J. Conley punts 35 yards, fair catch by Dwayne Harris",0.330,0.380
2,11:44,1,10,DAL 9,7,0,Tony Romo pass complete short middle to Jason Witten for 11 yards (tackle by Mike DeVito),-0.380,0.280
2,11:11,1,10,DAL 20,7,0,Felix Jones left tackle for -3 yards (tackle by Bart Scott),0.280,-0.790
2,10:29,2,13,DAL 17,7,0,Tony Romo sacked by Calvin Pace for -4 yards,-0.790,-2.190
2,9:52,3,17,DAL 13,7,0,Tony Romo pass complete short left to Jason Witten for 12 yards (tackle by Kyle Wilson),-2.190,-1.700
2,9:19,4,5,DAL 25,7,0,"Mat McBriar punts 55 yards, returned by Jeremy Kerley for 6 yards (tackle by Danny McCray)",-1.700,-0.670
2,9:08,1,10,NYJ 26,7,0,Shonn Greene left guard for 3 yards,0.670,0.540
2,8:27,2,7,NYJ 29,7,0,Mark Sanchez pass incomplete short right intended for Jeff Cumberland,0.540,-0.160
2,8:23,3,7,NYJ 29,7,0,Mark Sanchez pass incomplete deep right intended for Santonio Holmes,-0.160,-1.440
