Unnamed: 0,ARI,CLE
First Downs,7,17
Rush-Yds-TDs,21-41-0,40-113-1
Cmp-Att-Yd-TD-INT,11-20-58-0-2,19-30-219-2-0
Sacked-Yards,7-41,1-6
Net Pass Yards,17,213
Total Yards,58,326
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,4-40,6-65
Third Down Conv.,1-12,6-17
Fourth Down Conv.,0-1,1-2
Time of Possession,23:35,36:25
