Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Dustin Hopkins kicks off 54 yards, returned by Greg Dortch for 14 yards (tackle by Mike Ford and Jeremiah Owusu-Koramoah)",0.000,0.610
1,14:56,1,10,ARI 25,0,0,Rondale Moore right guard for 2 yards (tackle by Grant Delpit),0.610,0.330
1,14:24,2,8,ARI 27,0,0,Clayton Tune pass complete short right to Trey McBride for 12 yards (tackle by Grant Delpit),0.330,1.530
1,13:52,1,10,ARI 39,0,0,Keaontay Ingram right guard for 11 yards (tackle by Juan Thornhill and Anthony Walker),1.530,2.260
1,13:12,1,10,CLE 50,0,0,Keaontay Ingram left guard for 2 yards (tackle by Rodney McLeod and Sione Takitaki),2.260,1.980
1,12:36,2,8,CLE 48,0,0,Clayton Tune pass incomplete short left intended for Marquise Brown (defended by Myles Garrett),1.980,1.290
1,12:34,3,8,CLE 48,0,0,Clayton Tune pass complete short right to Marquise Brown for no gain (tackle by Grant Delpit),1.290,0.070
1,12:01,4,8,CLE 48,0,0,"Blake Gillikin punts 37 yards, fair catch by James Proche at CLE-11",0.070,0.370
1,11:53,1,10,CLE 11,0,0,Jerome Ford right guard for 6 yards (tackle by Kyzir White),-0.370,-0.160
1,11:19,2,4,CLE 17,0,0,Jerome Ford right guard for 2 yards (tackle by Kevin Strong and Zaven Collins),-0.160,-0.480
1,10:35,3,2,CLE 19,0,0,Deshaun Watson pass complete short right to Jerome Ford for 17 yards (tackle by Budda Baker),-0.480,1.330
1,9:59,1,10,CLE 36,0,0,"Deshaun Watson pass complete short left to Elijah Moore for no gain. Penalty on Jedrick Wills: Offensive Holding, 10 yards (accepted) (no play)",1.330,0.670
1,9:27,,,,,,Timeout #1 by Cleveland Browns,,
1,9:27,1,20,CLE 26,0,0,Deshaun Watson pass incomplete short left intended for David Njoku,0.670,-0.560
1,9:23,2,20,CLE 26,0,0,Deshaun Watson pass incomplete short left intended for Kareem Hunt,-0.560,-1.220
1,9:18,3,20,CLE 26,0,0,Deshaun Watson pass complete short left to David Njoku for 15 yards (tackle by Jalen Thompson),-1.220,-0.650
1,8:34,4,5,CLE 41,0,0,"Corey Bojorquez punts 44 yards, returned by Greg Dortch for 4 yards (tackle by Pierre Strong)",-0.650,-0.150
1,8:24,1,10,ARI 19,0,0,Clayton Tune scrambles right end for 2 yards (tackle by Grant Delpit),0.150,-0.060
1,7:51,2,8,ARI 21,0,0,Rondale Moore up the middle for -4 yards (tackle by Shelby Harris),-0.060,-1.420
1,7:15,3,12,ARI 17,0,0,Clayton Tune pass incomplete short left intended for Tony Jones,-1.420,-2.320
1,7:12,4,12,ARI 17,0,0,"Blake Gillikin punts 44 yards, returned by James Proche for 5 yards (tackle by Joey Blount)",-2.320,-1.860
1,7:05,1,10,CLE 44,0,0,Pierre Strong right end for 4 yards (tackle by Leki Fotu and Zaven Collins),1.860,1.860
1,6:26,2,6,CLE 48,0,0,Jerome Ford right guard for 9 yards (tackle by BJ Ojulari),1.860,2.720
1,5:48,1,10,ARI 43,0,0,Deshaun Watson pass complete short right to Amari Cooper for 3 yards (tackle by Starling Thomas),2.720,2.580
1,5:15,2,7,ARI 40,0,0,Deshaun Watson pass complete short right to David Njoku for 2 yards (tackle by Kevin Strong),2.580,2.150
1,4:30,3,5,ARI 38,0,0,Deshaun Watson pass complete short right to Jerome Ford for 2 yards (tackle by Starling Thomas),2.150,0.890
1,3:46,4,3,ARI 36,0,0,Deshaun Watson pass incomplete short right intended for Jordan Akins,0.890,-1.400
1,3:43,1,10,ARI 37,0,0,Clayton Tune sacked by Jordan Elliott for -10 yards,1.400,-0.430
1,3:04,2,19,ARI 27,0,0,Clayton Tune pass complete short right to Greg Dortch for 2 yards (tackle by Cameron Mitchell),-0.430,-0.820
1,2:28,3,17,ARI 29,0,0,"Clayton Tune pass complete short right to Tony Jones for 4 yards (tackle by Denzel Ward). Penalty on Marquise Brown: Offensive Pass Interference, 10 yards (declined)",-0.820,-1.180
1,2:12,4,13,ARI 33,0,0,"Blake Gillikin punts 56 yards, returned by James Proche for 17 yards (tackle by Bobby Price and Krys Barnes)",-1.180,-0.810
1,2:01,1,10,CLE 28,0,0,Deshaun Watson pass complete deep left to Amari Cooper for 59 yards (tackle by Jalen Thompson),0.810,4.710
1,1:21,1,10,ARI 13,0,0,Kareem Hunt right guard for 3 yards (tackle by Kevin Strong),4.710,4.580
1,0:41,2,7,ARI 10,0,0,Deshaun Watson sacked by and Josh Woods for -6 yards and Leki Fotu for -6 yards,4.580,2.970
Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,13,ARI 16,0,0,Deshaun Watson pass complete short right to David Njoku for 4 yards (tackle by Budda Baker),2.970,2.630
2,14:18,4,9,ARI 12,0,3,"Dustin Hopkins 30 yard field goal good. Penalty on Dante Stills: Defensive Offside, 5 yards (declined)",2.630,3.000
2,14:15,,,CLE 35,0,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,14:15,1,10,ARI 25,0,3,Keaontay Ingram right end for no gain (tackle by Martin Emerson),0.610,0.060
