Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Toby Gowin kicks off 71 yards, returned by Tim Dwight for 21 yards (tackle by Rashad Washington)",0.000,0.280
1,14:53,1,10,SDG 20,0,0,Drew Brees pass complete to Reche Caldwell for 8 yards (tackle by David Barrett),0.280,0.810
1,14:11,2,2,SDG 28,0,0,LaDainian Tomlinson up the middle for 5 yards (tackle by Sam Cowart),0.810,1.140
1,13:32,1,10,SDG 33,0,0,Drew Brees pass incomplete intended for Reche Caldwell,1.140,0.590
1,13:25,2,10,SDG 33,0,0,LaDainian Tomlinson right end for 19 yards (tackle by Reggie Tongue),0.590,2.390
1,12:51,1,10,NYJ 48,0,0,LaDainian Tomlinson left tackle for -1 yards (tackle by Sam Cowart),2.390,1.710
1,12:13,2,11,NYJ 49,0,0,LaDainian Tomlinson left tackle for 5 yards (tackle by David Barrett),1.710,1.690
1,11:35,3,6,NYJ 44,0,0,Drew Brees sacked by Shaun Ellis and Dewayne Robertson for -7 yards,1.690,-0.130
1,11:08,4,13,SDG 49,0,0,"Mike Scifres punts 51 yards, touchback",-0.130,-0.280
1,10:58,1,10,NYJ 20,0,0,Chad Pennington pass incomplete intended for Jerald Sowell,0.280,-0.270
1,10:55,2,10,NYJ 20,0,0,Curtis Martin up the middle for 11 yards (tackle by DeQuincy Scott),-0.270,1.000
1,10:18,1,10,NYJ 31,0,0,Chad Pennington pass complete to Jonathan Carter for 46 yards,1.000,4.040
1,9:51,1,10,SDG 23,0,0,Curtis Martin up the middle for 10 yards (tackle by Jerry Wilson),4.040,4.710
1,9:16,1,10,SDG 13,0,0,Curtis Martin up the middle for 12 yards (tackle by Jerry Wilson),4.710,6.970
1,8:34,1,1,SDG 1,0,0,Curtis Martin up the middle for no gain (tackle by Randall Godfrey and Steve Foley),6.970,5.910
1,7:55,2,1,SDG 1,6,0,"Curtis Martin up the middle for 1 yard, touchdown",5.910,7.000
1,,,,SDG 2,7,0,Doug Brien kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,0,"Toby Gowin kicks off 66 yards, returned by Tim Dwight for 20 yards (tackle by Jon McGraw)",0.000,0.540
1,7:44,1,10,SDG 24,7,0,LaDainian Tomlinson left end for 6 yards (tackle by Sam Cowart and Erik Coleman),0.540,0.810
1,7:06,2,4,SDG 30,7,0,Drew Brees pass incomplete intended for Justin Peelle is intercepted by Erik Coleman at SDG-45 and returned for 1 yard (tackle by Justin Peelle),0.810,-2.650
1,6:58,1,10,SDG 44,7,0,Chad Pennington pass complete to Santana Moss for 18 yards (tackle by Terrence Kiel),2.650,3.840
1,6:20,1,10,SDG 26,7,0,Curtis Martin left end for 3 yards (tackle by Jamal Williams),3.840,3.700
1,5:46,2,7,SDG 23,7,0,Curtis Martin up the middle for 4 yards (tackle by Ben Leber),3.700,3.570
1,5:02,3,3,SDG 19,7,0,Curtis Martin up the middle for 9 yards (tackle by Donnie Edwards),3.570,4.910
1,4:18,1,10,SDG 10,7,0,Chad Pennington pass complete to Jerald Sowell for 8 yards (tackle by Randall Godfrey),4.910,5.720
1,3:47,2,2,SDG 2,13,0,"Curtis Martin up the middle for 2 yards, touchdown",5.720,7.000
1,,,,SDG 2,14,0,Doug Brien kicks extra point good,0.000,0.000
1,,,,NYJ 30,14,0,"Toby Gowin kicks off 67 yards, returned by Tim Dwight for 18 yards (tackle by B.J. Askew)",0.000,0.340
1,3:36,1,10,SDG 21,14,0,LaDainian Tomlinson up the middle for 13 yards (tackle by Reggie Tongue),0.340,1.200
1,2:59,1,10,SDG 34,14,0,LaDainian Tomlinson up the middle for 9 yards (tackle by Sam Cowart and Dewayne Robertson),1.200,1.870
1,2:16,2,1,SDG 43,14,0,Jesse Chatman left tackle for 4 yards (tackle by Eric Barton),1.870,2.060
1,1:39,1,10,SDG 47,14,0,"Penalty on Shaun Ellis: Encroachment, 6 yards (no play)",2.060,2.940
1,1:27,1,4,NYJ 47,14,0,LaDainian Tomlinson right tackle for 2 yards (tackle by Jon McGraw and Shaun Ellis),2.940,2.600
1,0:52,2,2,NYJ 45,14,0,"Drew Brees pass incomplete intended for Antonio Gates. Penalty on Eric Barton: Illegal Contact, 6 yards (no play)",2.600,2.980
1,0:46,1,10,NYJ 39,14,0,LaDainian Tomlinson left end for no gain (tackle by Sam Cowart and Erik Coleman),2.980,2.440
1,0:08,2,10,NYJ 39,14,0,Drew Brees pass incomplete intended for Antonio Gates,2.440,1.750
1,0:01,,,,14,0,Timeout #1 by San Diego Chargers,0.000,1.750
1,0:01,3,10,NYJ 39,14,0,"Penalty on Antonio Gates: False Start, 5 yards (no play)",1.750,1.090
1,0:01,3,15,NYJ 44,14,0,Drew Brees pass incomplete intended for Kassim Osgood,1.090,0.330
Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,15,NYJ 44,14,0,"Penalty on Carlos Polk: Offensive Holding, 10 yards",0.330,-0.320
2,14:52,4,25,SDG 46,14,0,"Mike Scifres punts 34 yards, fair catch by Santana Moss",-0.320,-0.280
2,14:44,1,10,NYJ 20,14,0,Chad Pennington pass complete to Chris Baker for 7 yards (tackle by Steve Foley),0.280,0.680
2,14:09,2,3,NYJ 27,14,0,Curtis Martin up the middle for no gain (tackle by Stephen Cooper and Ben Leber),0.680,-0.030
2,13:26,3,3,NYJ 27,14,0,Curtis Martin right tackle for 1 yard (tackle by Donnie Edwards and Ben Leber),-0.030,-1.500
2,12:50,4,2,NYJ 28,14,0,"Toby Gowin punts 40 yards, returned by Eric Parker for no gain. Eric Parker fumbles, recovered by Eric Barton at SDG-32",-1.500,3.450
2,12:35,1,10,SDG 32,14,0,Curtis Martin right tackle for 1 yard (tackle by Donnie Edwards),3.450,3.040
2,11:55,2,9,SDG 31,14,0,Chad Pennington pass complete to Chris Baker for 12 yards (tackle by Igor Olshansky),3.040,4.310
2,11:18,1,10,SDG 19,14,0,Curtis Martin right tackle for 7 yards (tackle by Quentin Jammer and Ben Leber),4.310,4.920
2,10:34,2,3,SDG 12,14,0,Curtis Martin up the middle for 2 yards (tackle by Jamal Williams),4.920,4.690
2,9:50,3,1,SDG 10,14,0,Chad Pennington pass incomplete intended for Chris Baker,4.690,2.910
,,,,,,,"NYJ challenged the ruling, and the play was upheld.",,
2,9:44,4,1,SDG 10,17,0,Doug Brien 28 yard field goal good,2.910,3.000
2,,,,NYJ 30,17,6,"Toby Gowin kicks off 57 yards, returned by Tim Dwight for 87 yards, touchdown",0.000,7.000
2,,,,NYJ 2,17,7,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,17,7,"Nate Kaeding kicks off 70 yards, returned by LaMont Jordan for 11 yards (tackle by Hanik Milligan)",0.000,-0.370
2,9:22,1,10,NYJ 11,17,7,Curtis Martin left tackle for 1 yard (tackle by DeQuincy Scott),-0.370,-0.710
2,8:41,2,9,NYJ 12,17,7,Chad Pennington pass complete to Curtis Martin for 3 yards (tackle by Sammy Davis),-0.710,-0.950
2,7:56,3,6,NYJ 15,17,7,Chad Pennington pass complete to Curtis Martin for no gain,-0.950,-2.440
2,7:22,4,6,NYJ 15,17,7,"Toby Gowin punts 54 yards, returned by Eric Parker for 12 yards (tackle by Rashad Washington)",-2.440,-1.800
2,7:09,1,10,SDG 43,17,7,LaDainian Tomlinson right end for 7 yards (tackle by Erik Coleman),1.800,2.200
2,6:47,2,3,SDG 50,17,7,LaDainian Tomlinson up the middle for no gain (tackle by James Reed),2.200,1.490
2,6:03,3,3,SDG 50,17,7,Drew Brees pass incomplete intended for Antonio Gates,1.490,-0.060
2,5:57,4,3,SDG 50,17,7,"Mike Scifres punts 26 yards, fair catch by Santana Moss",-0.060,-0.540
2,5:49,1,10,NYJ 24,17,7,Curtis Martin right end for 4 yards (tackle by Steve Foley and Quentin Jammer),0.540,0.540
2,5:10,2,6,NYJ 28,17,7,Chad Pennington pass complete to Santana Moss for 20 yards (tackle by Jerry Wilson). Penalty on Quentin Jammer: Illegal Contact (Declined),0.540,2.130
