Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 69 yards, returned by Andra Davis for 18 yards (tackle by Clint Kriewaldt)",0.000,0.150
1,14:56,1,10,CLE 19,0,0,William Green right guard for 2 yards (tackle by Brent Alexander and Jason Gildon),0.150,-0.060
1,14:21,2,8,CLE 21,0,0,Tim Couch pass complete to Andra Davis for 23 yards (tackle by Troy Polamalu),-0.060,1.860
1,13:39,1,10,CLE 44,0,0,William Green left guard for -1 yards (tackle by Kendrell Bell),1.860,1.180
1,13:04,2,11,CLE 43,0,0,William Green left end for no gain (tackle by Kendrell Bell and Dewayne Washington),1.180,0.500
1,12:19,3,11,CLE 43,0,0,Tim Couch pass complete to Dennis Northcutt for 18 yards (tackle by Dewayne Washington),0.500,2.980
1,11:40,1,10,PIT 39,0,0,Tim Couch pass complete to Quincy Morgan for no gain,2.980,2.440
1,10:59,2,10,PIT 39,0,0,Tim Couch pass complete to Quincy Morgan for 32 yards (tackle by Brent Alexander),2.440,5.600
1,10:29,1,7,PIT 7,0,0,William Green right tackle for 2 yards (tackle by James Farrior and Kendrell Bell),5.600,5.150
1,9:52,2,5,PIT 5,0,0,William Green right tackle for -1 yards (tackle by Chad Scott),5.150,4.040
1,9:12,3,6,PIT 6,6,0,"Tim Couch pass complete to Andra Davis for 6 yards, touchdown",4.040,7.000
1,,,,PIT 2,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,7,0,"Phil Dawson kicks off 68 yards, returned by Antwaan Randle El for 19 yards (tackle by Felipe Claybrooks)",0.000,0.340
1,9:02,1,10,PIT 21,7,0,Amos Zereoue left guard for 7 yards (tackle by Kevin Bentley),0.340,0.750
1,8:28,2,3,PIT 28,7,0,Tommy Maddox pass incomplete intended for Plaxico Burress,0.750,0.040
1,8:24,3,3,PIT 28,7,0,"Tommy Maddox sacked by Courtney Brown for -8 yards. Tommy Maddox fumbles (forced by Courtney Brown), recovered by Courtney Brown at PIT-20 (tackle by Marvel Smith)",0.040,-4.240
1,8:19,1,10,PIT 20,7,0,William Green right tackle for 2 yards (tackle by Kendrell Bell and Brent Alexander),4.240,3.960
1,7:39,2,8,PIT 18,7,0,Tim Couch pass complete to Steve Heiden for 13 yards (tackle by Mike Logan),3.960,6.060
1,7:09,1,5,PIT 5,7,0,William Green right guard for 3 yards (tackle by Kendrell Bell and James Farrior),6.060,5.720
1,6:32,2,2,PIT 2,7,0,Tim Couch pass incomplete intended for Darnell Sanders,5.720,4.950
1,6:27,3,2,PIT 2,7,0,Quincy Morgan right end for 1 yard (tackle by Mike Logan),4.950,3.550
1,5:49,4,1,PIT 1,10,0,Phil Dawson 19 yard field goal good,3.550,3.000
1,,,,CLE 30,10,0,"Phil Dawson kicks off 69 yards, returned by Antwaan Randle El for 13 yards (tackle by Lewis Sanders). Penalty on Chris Hope: Illegal Block Above the Waist, 7 yards",0.000,-0.380
1,5:41,1,10,PIT 7,10,0,Amos Zereoue right guard for -1 yards (tackle by Kenard Lang),-0.380,-0.850
1,5:06,2,11,PIT 6,10,0,Tommy Maddox pass complete to Plaxico Burress for 19 yards (tackle by Anthony Henry),-0.850,0.610
1,4:29,1,10,PIT 25,10,0,Tommy Maddox pass complete to Amos Zereoue for 10 yards (tackle by Ben Taylor),0.610,1.270
1,3:49,1,10,PIT 35,10,0,Amos Zereoue right tackle for 5 yards (tackle by Robert Griffith),1.270,1.400
1,3:09,2,5,PIT 40,10,0,Amos Zereoue right tackle for 3 yards (tackle by Ben Taylor),1.400,1.090
1,2:29,3,2,PIT 43,10,0,"Penalty on Kendall Simmons: False Start, 5 yards (no play)",1.090,0.430
1,2:12,3,7,PIT 38,10,0,"Tommy Maddox pass incomplete intended for Plaxico Burress. Penalty on Chris Crocker: Defensive Pass Interference (Offsetting), Penalty on Kendall Simmons: Offensive Holding (Offsetting) (no play)",0.430,0.430
1,2:06,3,7,PIT 38,10,0,Tommy Maddox sacked by Courtney Brown for -4 yards,0.430,-1.110
1,1:36,4,11,PIT 34,10,0,"Josh Miller punts 36 yards, muffed catch by Dennis Northcutt, recovered by Clint Kriewaldt and returned for no gain",-1.110,4.170
1,1:25,1,10,CLE 21,10,0,Tommy Maddox pass complete to Amos Zereoue for 7 yards (tackle by Ben Taylor),4.170,4.740
1,0:44,2,3,CLE 14,10,0,Amos Zereoue right guard for 2 yards (tackle by Robert Griffith),4.740,4.490
1,0:06,3,1,CLE 12,10,0,Amos Zereoue left guard for no gain (tackle by Andra Davis),4.490,2.780
Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,CLE 12,10,3,Jeff Reed 30 yard field goal good,2.780,3.000
2,,,,PIT 30,10,3,"Jeff Reed kicks off 61 yards, returned by Andra Davis for 13 yards (tackle by Troy Polamalu). Penalty on Clark Haggans: Offside on Free Kick, 5 yards (no play)",0.000,0.000
2,,,,PIT 25,10,3,"Jeff Reed kicks off 67 yards, returned by Andra Davis for 69 yards (tackle by Dewayne Washington)",0.000,4.040
2,14:42,1,10,PIT 23,10,3,Tim Couch pass complete to William Green for 5 yards (tackle by James Farrior),4.040,4.210
2,14:03,2,5,PIT 18,10,3,William Green right end for 3 yards (tackle by Chad Scott),4.210,4.050
2,13:29,3,2,PIT 15,10,3,Tim Couch pass complete to Dennis Northcutt for 6 yards (tackle by Joey Porter),4.050,5.140
2,12:52,1,9,PIT 9,16,3,"Tim Couch pass complete to Kevin Johnson for 9 yards, touchdown",5.140,7.000
2,,,,PIT 2,16,3,Phil Dawson kicks extra point no good,0.000,-1.000
2,,,,CLE 30,16,3,"Phil Dawson kicks off 63 yards, returned by Ike Taylor for 38 yards (tackle by Chaun Thompson)",0.000,1.930
2,12:37,1,10,PIT 45,16,3,Tommy Maddox sacked by Gerard Warren for 0 yards,1.930,1.380
2,11:51,2,10,PIT 45,16,3,"Jerome Bettis left end for 4 yards (tackle by Daylon McCutcheon). Penalty on Alvin McKinley: Defensive Holding, 5 yards",1.380,2.520
2,11:28,1,10,CLE 46,16,3,Jerome Bettis left tackle for 3 yards (tackle by Ben Taylor),2.520,2.380
2,10:52,2,7,CLE 43,16,3,Antwaan Randle El left end for 3 yards (tackle by Ben Taylor),2.380,2.080
2,10:05,3,4,CLE 40,16,3,Amos Zereoue left end for 2 yards (tackle by Brant Boyer and Lewis Sanders),2.080,0.720
2,9:26,,,,16,3,Timeout #1 by Cleveland Browns,0.000,0.720
2,9:26,4,2,CLE 38,16,3,"Penalty on Plaxico Burress: False Start, 5 yards (no play)",0.720,0.400
2,9:26,4,7,CLE 43,16,3,Josh Miller punts 41 yards,0.400,0.380
2,9:16,1,10,CLE 2,16,3,William Green left guard for 2 yards (tackle by Kendrell Bell),-0.380,-0.630
2,8:39,2,8,CLE 4,16,3,William Green right tackle for 9 yards (tackle by Brent Alexander),-0.630,-0.320
2,8:05,1,10,CLE 13,16,3,William Green right end for no gain (tackle by Jason Gildon),-0.320,-0.770
2,7:32,2,10,CLE 13,16,3,William Green right end for 5 yards (tackle by Brent Alexander),-0.770,-0.830
2,6:50,3,5,CLE 18,16,3,Tim Couch pass complete to Quincy Morgan for 1 yard (tackle by Jason Gildon),-0.830,-2.140
2,6:12,4,4,CLE 19,16,3,"Chris Gardocki punts 40 yards, returned by Antwaan Randle El for 5 yards. Penalty on Clark Haggans: Illegal Block Above the Waist, 10 yards",-2.140,-1.330
2,5:54,1,10,PIT 36,16,3,Tommy Maddox pass complete to Amos Zereoue for 3 yards (tackle by Andra Davis),1.330,1.200
2,5:16,2,7,PIT 39,16,3,Tommy Maddox pass complete to Hines Ward for 30 yards (tackle by Earl Little),1.200,3.510
2,4:45,1,10,CLE 31,16,3,Tommy Maddox pass incomplete intended for Jerame Tuman (defended by Andra Davis),3.510,2.970
2,4:35,2,10,CLE 31,16,3,Tommy Maddox pass complete to Jerame Tuman for 5 yards (tackle by Andra Davis),2.970,2.940
2,4:05,3,5,CLE 26,16,3,Tommy Maddox pass complete to Hines Ward for 25 yards (tackle by Robert Griffith),2.940,6.970
2,3:19,1,1,CLE 1,16,9,"Jerome Bettis right guard for 1 yard, touchdown",6.970,7.000
2,,,,CLE 2,16,10,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,16,10,"Jeff Reed kicks off 66 yards, returned by Andra Davis for 18 yards (tackle by Clint Kriewaldt)",0.000,0.410
2,3:11,1,10,CLE 22,16,10,Tim Couch pass complete to Darnell Sanders for 6 yards (tackle by James Farrior),0.410,0.680
2,2:30,2,4,CLE 28,16,10,Tim Couch pass complete to Andra Davis for 3 yards (tackle by James Farrior),0.680,0.370
2,2:00,3,1,CLE 31,16,10,Tim Couch pass complete to Steve Heiden for 17 yards (tackle by Kendrell Bell),0.370,2.130
2,1:28,1,10,CLE 48,16,10,William Green right guard for 4 yards (tackle by James Farrior and Jason Gildon),2.130,2.120
2,0:55,2,6,PIT 48,16,10,Tim Couch pass complete to Quincy Morgan for 18 yards (tackle by Chad Scott),2.120,3.580
2,0:46,,,,16,10,Timeout #2 by Cleveland Browns,0.000,3.580
2,0:46,1,10,PIT 30,16,10,Tim Couch pass complete to Andre King for 6 yards (tackle by Mike Logan),3.580,3.840
2,0:29,2,4,PIT 24,16,10,Tim Couch for 4 yards (tackle by Aaron Smith),3.840,4.240
2,0:21,1,10,PIT 20,16,10,"Tim Couch pass complete to Dennis Northcutt for 6 yards (tackle by Dewayne Washington). Penalty on Dewayne Washington: Face Mask (5 Yards), 5 yards",4.240,5.140
2,0:13,1,9,PIT 9,22,10,"Tim Couch right end for 9 yards, touchdown",5.140,7.000
2,,,,PIT 2,23,10,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,23,10,"Phil Dawson kicks off 55 yards, returned by Ike Taylor for 19 yards (tackle by Chris Crocker)",0.000,0.940
Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,23,10,"Phil Dawson kicks off 71 yards, returned by Ike Taylor for 53 yards (tackle by Barry Gardner)",0.000,2.390
3,14:51,1,10,CLE 48,23,10,Amos Zereoue right end for 3 yards (tackle by Andra Davis and Orpheus Roye),2.390,2.250
3,14:13,2,7,CLE 45,23,10,Tommy Maddox pass incomplete intended for Hines Ward (defended by Orpheus Roye),2.250,1.550
3,14:09,3,7,CLE 45,23,10,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Anthony Henry),1.550,0.270
3,14:03,4,7,CLE 45,23,10,"Josh Miller punts 45 yards, touchback",0.270,-0.280
3,13:54,1,10,CLE 20,23,10,William Green left guard for 13 yards (tackle by Dewayne Washington),0.280,1.140
3,13:17,1,10,CLE 33,23,10,William Green left end for -5 yards (tackle by James Farrior and Dewayne Washington),1.140,-0.080
3,12:30,2,15,CLE 28,23,10,"Jeff Faine for no gain. Jeff Faine fumbles, recovered by William Green at CLE-20",-0.080,-1.810
3,11:43,3,23,CLE 20,23,10,Tim Couch sacked for -8 yards,-1.810,-2.490
3,11:13,4,31,CLE 12,23,10,"Chris Gardocki punts 34 yards, muffed catch by Antwaan Randle El, recovered by Chidi Iwuoma and returned for no gain",-2.490,-2.850
3,11:03,1,10,CLE 41,23,10,Amos Zereoue up the middle for 1 yard (tackle by Robert Griffith),2.850,2.440
3,10:30,2,9,CLE 40,23,10,Tommy Maddox pass complete to Antwaan Randle El for 8 yards (tackle by Andra Davis),2.440,2.810
3,9:45,3,1,CLE 32,29,10,"Tommy Maddox pass incomplete intended for Jerame Tuman is intercepted by Daylon McCutcheon at CLE-25 and returned for 75 yards, touchdown",2.810,-7.000
3,,,,PIT 2,30,10,Phil Dawson kicks extra point good,0.000,0.000
3,,,,CLE 30,30,10,"Phil Dawson kicks off 60 yards, returned by Ike Taylor for 14 yards (tackle by Michael Jameson)",0.000,0.540
3,9:26,1,10,PIT 24,30,10,Tommy Maddox pass incomplete intended for Hines Ward,0.540,0.000
3,9:22,2,10,PIT 24,30,10,Amos Zereoue left end for 2 yards (tackle by Kevin Bentley),0.000,-0.430
3,8:41,3,8,PIT 26,30,10,Tommy Maddox pass complete to Amos Zereoue for 1 yard (tackle by Chris Crocker),-0.430,-1.570
3,8:09,4,7,PIT 27,30,10,"Josh Miller punts 46 yards, returned by Dennis Northcutt for 5 yards (tackle by Chris Hope)",-1.570,-1.070
3,8:01,1,10,CLE 32,30,10,William Green right end for 12 yards (tackle by Chad Scott),1.070,1.860
3,7:31,1,10,CLE 44,30,10,William Green up the middle for 4 yards (tackle by Joey Porter),1.860,1.860
3,6:53,2,6,CLE 48,30,10,William Green right guard for 3 yards (tackle by Kendrell Bell and Jason Gildon),1.860,1.550
3,6:14,3,3,PIT 49,30,10,Tim Couch pass complete to Kevin Johnson for 3 yards (tackle by Chad Scott),1.550,2.520
3,5:32,1,10,PIT 46,30,10,Tim Couch pass incomplete intended for Kevin Johnson is intercepted by Brent Alexander at PIT-40,2.520,-2.850
3,5:17,1,10,CLE 41,30,10,Amos Zereoue left end for -1 yards (tackle by Barry Gardner),2.850,2.170
3,4:40,2,11,CLE 42,30,10,Tommy Maddox pass complete to Amos Zereoue for 12 yards (tackle by Earl Little),2.170,3.580
3,4:01,1,10,CLE 30,30,10,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Anthony Henry),3.580,3.030
3,3:54,2,10,CLE 30,30,10,Tommy Maddox pass complete to Amos Zereoue for 16 yards (tackle by Earl Little),3.030,4.650
3,3:14,1,10,CLE 14,30,10,Tommy Maddox pass incomplete intended for Hines Ward,4.650,4.000
3,3:09,2,10,CLE 14,30,10,"Penalty on Tommy Maddox: Delay of Game, 5 yards (no play)",4.000,3.370
3,3:09,2,15,CLE 19,30,10,Tommy Maddox pass incomplete intended for Plaxico Burress,3.370,2.730
3,3:05,3,15,CLE 19,30,10,Tommy Maddox pass incomplete intended for Plaxico Burress,2.730,2.180
3,2:59,4,15,CLE 19,30,13,Jeff Reed 37 yard field goal good,2.180,3.000
3,,,,PIT 30,30,13,"Jeff Reed kicks off 71 yards, returned by Andra Davis for 18 yards (tackle by Clark Haggans)",0.000,-0.060
3,2:51,1,10,CLE 17,30,13,William Green right guard for no gain (tackle by Kendrell Bell),-0.060,-0.580
3,2:13,2,10,CLE 17,30,13,William Green right tackle for 6 yards (tackle by Jason Gildon and James Farrior),-0.580,-0.490
3,1:30,3,4,CLE 23,30,13,Tim Couch pass incomplete intended for Dennis Northcutt,-0.490,-1.830
3,1:25,4,4,CLE 23,30,13,"Chris Gardocki punts 44 yards, returned by Antwaan Randle El for 6 yards (tackle by Barry Gardner). Penalty on Ben Taylor: Ineligible Downfield Kick, 5 yards (no play)",-1.830,-2.240
3,1:14,4,9,CLE 18,30,13,"Chris Gardocki punts 54 yards, returned by Antwaan Randle El for 4 yards (tackle by Chris Crocker). Penalty on Verron Haynes: Illegal Block Above the Waist, 10 yards",-2.240,-0.410
3,1:02,1,10,PIT 22,30,13,Amos Zereoue left guard for 3 yards (tackle by Courtney Brown and Alvin McKinley),0.410,0.270
3,0:34,2,7,PIT 25,30,13,Tommy Maddox pass incomplete intended for Amos Zereoue,0.270,-0.430
3,0:30,3,7,PIT 25,30,13,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Chris Crocker),-0.430,-1.700
3,0:24,4,7,PIT 25,30,13,"Josh Miller punts 43 yards, returned by Dennis Northcutt for 13 yards (tackle by Troy Polamalu)",-1.700,-1.930
3,0:10,1,10,CLE 45,30,13,William Green up the middle for no gain (tackle by Mike Logan),1.930,1.380
Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CLE 45,30,13,Tim Couch pass complete to Dennis Northcutt for 19 yards,1.380,3.180
4,14:34,1,10,PIT 36,30,13,William Green right end for -1 yards (tackle by James Farrior),3.180,2.500
4,13:52,2,11,PIT 37,30,13,William Green right guard for no gain (tackle by Kendrell Bell),2.500,1.820
4,13:12,3,11,PIT 37,30,13,"Tim Couch pass complete to Jamel White for 3 yards (tackle by Deshea Townsend). Penalty on Clark Haggans: Defensive Offside, 6 yards (no play)",1.820,2.610
4,12:42,3,5,PIT 31,30,13,"Tim Couch pass incomplete intended for Dennis Northcutt. Penalty on Joey Porter: Defensive Pass Interference, 4 yards (no play)",2.610,3.780
4,12:37,1,10,PIT 27,30,13,Tim Couch pass complete to Kevin Johnson for 8 yards (tackle by Dewayne Washington),3.780,4.350
4,11:57,2,2,PIT 19,30,13,William Green left guard for 4 yards (tackle by Casey Hampton),4.350,4.580
4,11:16,1,10,PIT 15,30,13,William Green up the middle for 12 yards (tackle by Brent Alexander),4.580,6.510
4,10:32,1,3,PIT 3,30,13,William Green up the middle for -1 yards (tackle by James Farrior),6.510,5.340
4,9:48,,,,30,13,Timeout #1 by Cleveland Browns,0.000,5.340
4,9:48,2,4,PIT 4,30,13,Tim Couch pass incomplete intended for Kevin Johnson (defended by Aaron Smith),5.340,4.490
4,9:43,3,4,PIT 4,30,13,Tim Couch pass incomplete intended for Steve Heiden,4.490,3.030
4,9:33,4,4,PIT 4,33,13,Phil Dawson 22 yard field goal good,3.030,3.000
4,,,,CLE 30,33,13,"Phil Dawson kicks off 41 yards, returned by Dan Kreider for no gain",0.000,1.200
4,9:32,1,10,PIT 34,33,13,Amos Zereoue up the middle for 12 yards (tackle by Anthony Henry),1.200,1.990
4,9:28,1,10,PIT 46,33,13,Tommy Maddox pass incomplete intended for Antwaan Randle El is intercepted by Earl Little at CLE-27 and returned for 3 yards (tackle by Chris Doering),1.990,-0.940
4,8:57,1,10,CLE 30,33,13,William Green left guard for 5 yards,0.940,1.070
4,8:57,2,5,CLE 35,33,13,William Green right guard for 3 yards (tackle by Joey Porter),1.070,0.760
4,7:26,3,2,CLE 38,33,13,Tim Couch pass complete to Dennis Northcutt for 9 yards (tackle by Chad Scott),0.760,2.060
4,6:50,1,10,CLE 47,33,13,William Green for -2 yards (tackle by Rodney Bailey),2.060,1.250
4,6:08,2,12,CLE 45,33,13,William Green right guard for no gain (tackle by Kendrell Bell),1.250,0.560
4,5:21,3,12,CLE 45,33,13,Jamel White left guard for -3 yards (tackle by Aaron Smith),0.560,-0.590
4,5:21,4,15,CLE 42,33,13,"Chris Gardocki punts 41 yards, returned by Antwaan Randle El for 30 yards (tackle by Barry Gardner)",-0.590,-2.060
4,4:35,1,10,PIT 47,33,13,Charlie Batch pass complete to Amos Zereoue for 8 yards (tackle by Chris Crocker),2.060,2.600
4,4:11,2,2,CLE 45,33,13,Charlie Batch pass complete to Antwaan Randle El for 11 yards (tackle by Alvin McKinley),2.600,3.310
4,3:46,1,10,CLE 34,33,13,Charlie Batch right end for 11 yards (tackle by Chris Crocker),3.310,4.040
4,3:13,1,10,CLE 23,33,13,Charlie Batch pass incomplete intended for Hines Ward,4.040,3.500
4,3:10,2,10,CLE 23,33,13,Charlie Batch pass incomplete intended for Amos Zereoue (defended by Gerard Warren),3.500,2.810
4,3:05,3,10,CLE 23,33,13,Charlie Batch pass complete to Antwaan Randle El for 6 yards (tackle by Robert Griffith),2.810,2.390
4,2:55,,,,33,13,Timeout #1 by Pittsburgh Steelers,0.000,2.390
4,2:55,4,4,CLE 17,33,13,Charlie Batch pass incomplete intended for Chris Doering,2.390,0.060
4,2:48,1,10,CLE 17,33,13,William Green up the middle for 5 yards (tackle by Mike Logan and Brent Alexander),-0.060,0.210
4,2:05,2,5,CLE 22,33,13,William Green left guard for 1 yard (tackle by Jason Gildon and James Farrior),0.210,-0.490
4,1:57,3,4,CLE 23,33,13,William Green right guard for 26 yards (tackle by Brent Alexander),-0.490,2.190
4,1:09,1,10,CLE 49,33,13,Tim Couch kneels for -1 yards,2.190,1.510
4,0:31,2,11,CLE 48,33,13,Tim Couch kneels for -1 yards,1.510,0.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
