Quarter,Time,Tm,Detail,CLE,PIT
1.0,9:07,Browns,Andre' Davis 6 yard pass from Tim Couch (Phil Dawson kick),7,0
,5:46,Browns,Phil Dawson 19 yard field goal,10,0
2.0,14:56,Steelers,Jeff Reed 30 yard field goal,10,3
,12:44,Browns,Kevin Johnson 9 yard pass from Tim Couch (Phil Dawson kick failed),16,3
,3:17,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),16,10
,0:06,Browns,Tim Couch 9 yard rush (Phil Dawson kick),23,10
3.0,9:30,Browns,Daylon McCutcheon 75 yard interception return (Phil Dawson kick),30,10
,2:56,Steelers,Jeff Reed 37 yard field goal,30,13
4.0,9:32,Browns,Phil Dawson 22 yard field goal,33,13
