Unnamed: 0,CLE,PIT
First Downs,22,11
Rush-Yds-TDs,40-124-1,18-60-1
Cmp-Att-Yd-TD-INT,20-25-208-2-1,14-30-161-0-2
Sacked-Yards,1-8,3-12
Net Pass Yards,200,149
Total Yards,324,209
Fumbles-Lost,2-1,2-1
Turnovers,2,3
Penalties-Yards,2-10,10-62
Third Down Conv.,7-13,1-11
Fourth Down Conv.,0-0,0-1
Time of Possession,37:28,22:32
