Quarter,Time,Tm,Detail,WAS,HOU
1.0,13:16,Commanders,Kendall Fuller 37 yard interception return (Joey Slye kick),7,0
2.0,11:44,Commanders,Curtis Samuel 10 yard rush (Joey Slye kick),14,0
,4:53,Commanders,Joey Slye 25 yard field goal,17,0
,0:07,Commanders,Joey Slye 24 yard field goal,20,0
3.0,9:53,Texans,Ka'imi Fairbairn 29 yard field goal,20,3
4.0,12:08,Commanders,Joey Slye 44 yard field goal,23,3
,3:19,Texans,Davis Mills 4 yard rush (Ka'imi Fairbairn kick),23,10
