Unnamed: 0,WAS,HOU
First Downs,20,11
Rush-Yds-TDs,40-153-1,16-21-1
Cmp-Att-Yd-TD-INT,15-27-191-0-0,19-33-169-0-2
Sacked-Yards,0-0,5-42
Net Pass Yards,191,127
Total Yards,344,148
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,5-36,2-15
Third Down Conv.,3-13,2-13
Fourth Down Conv.,2-2,4-4
Time of Possession,34:56,25:04
