Quarter,Time,Tm,Detail,NYJ,OAK
1.0,12:54,Jets,Thomas Jones 1 yard rush (Jay Feely kick),7,0
,4:20,Jets,Mark Sanchez 3 yard rush (Jay Feely kick),14,0
2.0,5:51,Jets,Shonn Greene 8 yard rush (Jay Feely kick),21,0
,0:02,Jets,Jay Feely 39 yard field goal,24,0
3.0,5:28,Jets,David Clowney 35 yard pass from Mark Sanchez (Jay Feely kick),31,0
4.0,6:30,Jets,Shonn Greene 33 yard rush (Jay Feely kick),38,0
