Unnamed: 0,NYJ,OAK
First Downs,26,13
Rush-Yds-TDs,54-316-4,19-119-0
Cmp-Att-Yd-TD-INT,9-16-143-1-0,16-30-158-0-2
Sacked-Yards,1-12,3-14
Net Pass Yards,131,144
Total Yards,447,263
Fumbles-Lost,4-0,2-2
Turnovers,0,4
Penalties-Yards,2-8,3-24
Third Down Conv.,9-16,5-12
Fourth Down Conv.,2-2,0-1
Time of Possession,35:57,24:03
