Unnamed: 0,DET,MIN
First Downs,18,22
Rush-Yds-TDs,25-97-0,25-78-1
Cmp-Att-Yd-TD-INT,23-36-219-2-1,31-40-273-1-0
Sacked-Yards,1-5,2-14
Net Pass Yards,214,259
Total Yards,311,337
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-57,8-54
Third Down Conv.,7-14,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,33:31,33:08
