Quarter,Time,Tm,Detail,LAC,OAK
1.0,8:01,Raiders,Daniel Carlson 40 yard field goal,0,3
,6:02,Raiders,Erik Harris 56 yard interception return (Daniel Carlson kick),0,10
2.0,8:24,Chargers,Hunter Henry 2 yard pass from Philip Rivers (Michael Badgley kick),7,10
,4:14,Chargers,Melvin Gordon 3 yard rush (Michael Badgley kick),14,10
,0:20,Raiders,Alec Ingold 9 yard pass from Derek Carr (Daniel Carlson kick),14,17
3.0,11:33,Raiders,Daniel Carlson 22 yard field goal,14,20
,0:25,Chargers,Michael Badgley 27 yard field goal,17,20
4.0,4:02,Chargers,Austin Ekeler 6 yard pass from Philip Rivers (Michael Badgley kick),24,20
,1:02,Raiders,Josh Jacobs 18 yard rush (Daniel Carlson kick failed),24,26
