Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Daniel Carlson kicks off 62 yards, returned by Troymaine Pope for 16 yards (tackle by Curtis Riley and Dallin Leavitt)",0.000,0.150
1,14:57,1,10,LAC 19,0,0,Philip Rivers pass complete deep middle to Austin Ekeler for 23 yards (tackle by Karl Joseph),0.150,1.730
1,14:22,1,10,LAC 42,0,0,Melvin Gordon right tackle for 4 yards (tackle by Tahir Whitehead and Trayvon Mullen),1.730,1.730
1,13:43,2,6,LAC 46,0,0,Philip Rivers sacked by and Maxx Crosby for -8 yards and Clelin Ferrell for -8 yards,1.730,-0.030
1,12:59,3,14,LAC 38,0,0,"Philip Rivers pass deep right (defended by Trayvon Mullen) is intercepted by Karl Joseph at OAK-38 and returned for no gain. Penalty on Trayvon Mullen: Defensive Pass Interference, 17 yards (no play)",-0.030,2.590
1,12:53,1,10,OAK 45,0,0,Melvin Gordon right end for 12 yards (tackle by Nicholas Morrow),2.590,3.380
1,12:10,1,10,OAK 33,0,0,Philip Rivers pass incomplete short left intended for Andre Patton (defended by Maxx Crosby),3.380,2.840
1,12:05,2,10,OAK 33,0,0,Philip Rivers pass deep left intended for Keenan Allen is intercepted by Erik Harris at OAK-10 and returned for 59 yards,2.840,-3.510
1,11:51,1,10,LAC 31,0,0,Josh Jacobs right guard for 6 yards (tackle by Kyzir White and Rayshawn Jenkins),3.510,3.780
1,11:15,2,4,LAC 25,0,0,Derek Carr pass complete short right to Tyrell Williams for 6 yards (tackle by Casey Hayward),3.780,4.310
1,10:35,1,10,LAC 19,0,0,Josh Jacobs left end for 5 yards (tackle by Melvin Ingram),4.310,4.530
1,9:52,2,5,LAC 14,0,0,"Josh Jacobs up the middle for 2 yards (tackle by Thomas Davis). Penalty on Gabe Jackson: Offensive Holding, 10 yards (no play)",4.530,3.090
1,9:31,2,15,LAC 24,0,0,Derek Carr pass complete short middle to Tyrell Williams for 7 yards (tackle by Thomas Davis and Drue Tranquill),3.090,3.260
1,8:47,3,8,LAC 17,0,0,Derek Carr sacked by Melvin Ingram for -5 yards,3.260,1.990
1,8:05,4,13,LAC 22,0,3,Daniel Carlson 40 yard field goal good,1.990,3.000
1,8:01,,,OAK 35,0,3,"Daniel Carlson kicks off 60 yards, returned by Troymaine Pope for 15 yards (tackle by Curtis Riley)",0.000,0.280
1,7:57,1,10,LAC 20,0,3,Austin Ekeler left tackle for 10 yards (tackle by Lamarcus Joyner),0.280,0.940
1,7:17,1,10,LAC 30,0,3,Philip Rivers pass complete short left to Keenan Allen for 7 yards (tackle by Tahir Whitehead),0.940,1.340
1,6:53,2,3,LAC 37,0,3,Melvin Gordon up the middle for 9 yards (tackle by Daryl Worley and Tahir Whitehead),1.340,1.990
1,6:14,1,10,LAC 46,0,9,"Philip Rivers pass short middle intended for Hunter Henry is intercepted by Erik Harris at OAK-44 and returned for 56 yards, touchdown",1.990,-7.000
1,6:02,,,LAC 15,0,10,Daniel Carlson kicks extra point good,0.000,0.000
1,6:02,,,OAK 35,0,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,6:02,1,10,LAC 25,0,10,Melvin Gordon right guard for 6 yards (tackle by Johnathan Hankins and Clelin Ferrell),0.610,0.870
1,5:36,2,4,LAC 31,0,10,Melvin Gordon left guard for 6 yards (tackle by Lamarcus Joyner and Tahir Whitehead),0.870,1.400
1,5:01,1,10,LAC 37,0,10,Melvin Gordon up the middle for 3 yards (tackle by Clelin Ferrell and Nicholas Morrow),1.400,1.260
1,4:25,2,7,LAC 40,0,10,Austin Ekeler left guard for 3 yards (tackle by Clelin Ferrell and Johnathan Hankins),1.260,0.960
1,3:44,3,4,LAC 43,0,10,Philip Rivers sacked by and Benson Mayowa for -7 yards and Maurice Hurst for -7 yards,0.960,-0.980
1,3:01,4,11,LAC 36,0,10,"Ty Long punts 54 yards, returned by Trevor Davis for 10 yards (tackle by Nick Dzubnar)",-0.980,-0.280
1,2:49,1,10,OAK 20,0,10,Derek Carr pass incomplete short right intended for Tyrell Williams,0.280,-0.270
1,2:45,2,10,OAK 20,0,10,"Derek Carr pass incomplete deep left intended for Tyrell Williams. Penalty on Kolton Miller: Offensive Holding, 10 yards (no play)",-0.270,-1.510
1,2:37,2,20,OAK 10,0,10,Derek Carr pass complete short middle to Darren Waller for 7 yards (tackle by Thomas Davis and Drue Tranquill),-1.510,-1.510
1,1:53,3,13,OAK 17,0,10,Derek Carr pass incomplete deep right intended for Zay Jones,-1.510,-2.320
1,1:48,4,13,OAK 17,0,10,"A.J. Cole punts 50 yards, returned by Desmond King for no gain (tackle by Kyle Wilber). Penalty on Jason Moore: Illegal Block Above the Waist (Declined) . Penalty on Rayshawn Jenkins: Offensive Holding, 10 yards",-2.320,-0.480
1,1:38,1,10,LAC 23,0,10,Keenan Allen right end for 18 yards (tackle by Tahir Whitehead),0.480,1.660
1,0:57,1,10,LAC 41,0,10,Austin Ekeler up the middle for 2 yards (tackle by Nicholas Morrow and William Compton),1.660,1.390
1,0:18,2,8,LAC 43,0,10,Philip Rivers pass complete short middle to Keenan Allen for 7 yards (tackle by Daryl Worley),1.390,1.620
Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,LAC 50,0,10,Melvin Gordon left guard for no gain (tackle by Tahir Whitehead),1.620,-0.060
2,14:34,4,1,LAC 50,0,10,Derek Watt up the middle for 1 yard (tackle by P.J. Hall),-0.060,2.320
2,13:53,1,10,OAK 49,0,10,Melvin Gordon right tackle for 6 yards (tackle by Karl Joseph and Tahir Whitehead),2.320,2.590
2,13:16,2,4,OAK 43,0,10,"Melvin Gordon up the middle for 3 yards (tackle by Johnathan Hankins). Penalty on Clelin Ferrell: Defensive Offside, 5 yards (no play)",2.590,3.050
2,12:55,1,10,OAK 38,0,10,Melvin Gordon up the middle for 5 yards (tackle by Nicholas Morrow and Clelin Ferrell),3.050,3.180
2,12:21,2,5,OAK 33,0,10,Philip Rivers pass complete short middle to Hunter Henry for 10 yards (tackle by Tahir Whitehead and Lamarcus Joyner),3.180,4.040
2,11:49,1,10,OAK 23,0,10,"Philip Rivers pass complete short right to Austin Ekeler for 1 yard (tackle by Lamarcus Joyner and Tahir Whitehead). Penalty on Clelin Ferrell: Defensive Offside, 5 yards (no play)",4.040,4.860
2,11:36,1,5,OAK 18,0,10,Melvin Gordon up the middle for 3 yards (tackle by Terrell McClain and P.J. Hall),4.860,4.750
2,11:07,2,2,OAK 15,0,10,Melvin Gordon up the middle for 2 yards (tackle by Karl Joseph),4.750,4.710
2,10:24,1,10,OAK 13,0,10,Melvin Gordon left tackle for 3 yards (tackle by Nicholas Morrow and P.J. Hall),4.710,4.580
2,9:43,2,7,OAK 10,0,10,Philip Rivers pass complete short middle to Hunter Henry for 5 yards (tackle by Tahir Whitehead),4.580,4.780
2,9:20,3,2,OAK 5,0,10,Philip Rivers pass complete short right to Keenan Allen for 3 yards (tackle by Lamarcus Joyner),4.780,6.740
2,8:35,1,2,OAK 2,0,10,Philip Rivers pass incomplete short left intended for Derek Watt (defended by Clelin Ferrell) (defended by Kyle Wilber),6.740,5.720
2,8:31,2,2,OAK 2,0,10,Philip Rivers pass incomplete short middle intended for Lance Kendricks (defended by Erik Harris),5.720,4.950
2,8:27,3,2,OAK 2,6,10,"Philip Rivers pass complete short right to Hunter Henry for 2 yards, touchdown",4.950,7.000
2,8:24,,,OAK 15,7,10,Michael Badgley kicks extra point good,0.000,0.000
2,8:24,,,LAC 35,7,10,"Michael Badgley kicks off 60 yards, returned by Trevor Davis for 17 yards (tackle by Derek Watt). Penalty on Alec Ingold: Unnecessary Roughness, 11 yards",0.000,-0.370
2,8:20,1,10,OAK 11,7,10,Josh Jacobs right guard for 3 yards (tackle by Drue Tranquill and Sylvester Williams),-0.370,-0.530
2,7:42,2,7,OAK 14,7,10,Josh Jacobs up the middle for 5 yards (tackle by Casey Hayward and Jaylen Watkins),-0.530,-0.480
