Unnamed: 0,MIA,LVR
First Downs,22,28
Rush-Yds-TDs,27-133-2,35-140-1
Cmp-Att-Yd-TD-INT,32-49-215-0-0,26-43-386-2-1
Sacked-Yards,2-18,3-29
Net Pass Yards,197,357
Total Yards,330,497
Fumbles-Lost,2-0,2-0
Turnovers,0,1
Penalties-Yards,8-68,8-104
Third Down Conv.,6-18,8-15
Fourth Down Conv.,3-4,0-1
Time of Possession,31:13,38:47
