Unnamed: 0,JAX,HOU
First Downs,9,23
Rush-Yds-TDs,20-67-1,31-79-1
Cmp-Att-Yd-TD-INT,12-28-92-0-1,29-47-308-0-2
Sacked-Yards,2-9,0-0
Net Pass Yards,83,308
Total Yards,150,387
Fumbles-Lost,0-0,3-0
Turnovers,1,2
Penalties-Yards,12-91,6-71
Third Down Conv.,3-13,4-14
Fourth Down Conv.,0-1,0-1
Time of Possession,23:18,36:42
