Unnamed: 0,IND,JAX
First Downs,20,20
Rush-Yds-TDs,21-47-0,38-174-3
Cmp-Att-Yd-TD-INT,28-45-347-2-2,12-24-179-1-1
Sacked-Yards,0-0,0-0
Net Pass Yards,347,179
Total Yards,394,353
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,7-38,7-47
Third Down Conv.,6-15,9-14
Fourth Down Conv.,1-1,0-1
Time of Possession,28:21,31:39
