Quarter,Time,Down,ToGo,Location,LAR,BUF,Detail,EPB,EPA
2,11:16,2,5,LAR 11,0,7,Josh Allen left end for 6 yards (tackle by David Long),4.760,6.060
2,10:34,1,5,LAR 5,0,7,Josh Allen up the middle for 4 yards (tackle by Aaron Donald),6.060,5.910
2,10:08,2,1,LAR 1,0,13,"Josh Allen right guard for 1 yard, touchdown",5.910,7.000
2,10:04,,,LAR 15,0,14,Tyler Bass kicks extra point good,0.000,0.000
2,10:04,,,BUF 35,0,14,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,10:04,1,10,LAR 25,0,14,Jared Goff pass complete short left to Josh Reynolds for 7 yards (tackle by Levi Wallace),0.610,1.010
2,9:20,2,3,LAR 32,0,14,Darrell Henderson left guard for 4 yards (tackle by Tremaine Edmunds),1.010,1.330
2,8:54,1,10,LAR 36,0,14,Darrell Henderson right tackle for 14 yards (tackle by Jordan Poyer and Micah Hyde),1.330,2.260
2,8:07,1,10,LAR 50,0,14,Darrell Henderson left guard for 14 yards (tackle by Levi Wallace),2.260,3.180
2,7:44,1,10,BUF 36,0,14,Darrell Henderson left guard for 6 yards (tackle by Taron Johnson),3.180,3.450
2,7:24,2,4,BUF 30,0,14,Jared Goff right end for 3 yards (tackle by Tre'Davious White),3.450,3.140
2,6:42,3,1,BUF 27,0,14,Malcolm Brown right guard for 2 yards (tackle by Matt Milano and Mario Addison),3.140,3.910
2,5:59,1,10,BUF 25,0,14,Jared Goff pass complete short left to Cooper Kupp for 5 yards (tackle by Jordan Poyer),3.910,4.040
2,5:27,2,5,BUF 20,0,14,Jared Goff pass complete short left to Cooper Kupp for 8 yards (tackle by Taron Johnson),4.040,4.780
2,4:42,1,10,BUF 12,0,14,Darrell Henderson left tackle for 2 yards (tackle by Micah Hyde),4.780,4.450
2,4:01,2,8,BUF 10,0,14,Darrell Henderson right end for -2 yards (tackle by Taron Johnson),4.450,3.120
2,3:18,3,10,BUF 12,0,14,Jared Goff pass incomplete short right,3.120,2.630
2,3:13,4,10,BUF 12,3,14,Sam Sloman 30 yard field goal good,2.630,3.000
2,3:09,,,LAR 35,3,14,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
2,3:09,1,10,BUF 25,3,14,Josh Allen pass incomplete short left,0.610,0.060
2,3:05,2,10,BUF 25,3,14,T.J. Yeldon left end for 9 yards (tackle by Troy Hill and Justin Hollins),0.060,0.560
2,2:27,3,1,BUF 34,3,14,T.J. Yeldon left guard for 8 yards (tackle by Kenny Young and Taylor Rapp),0.560,1.730
2,2:00,1,10,BUF 42,3,14,Isaiah McKenzie left end for 4 yards (tackle by Taylor Rapp),1.730,1.730
2,1:23,2,6,BUF 46,3,14,Josh Allen pass complete short middle to Gabriel Davis for 21 yards (tackle by Taylor Rapp and Micah Kiser),1.730,3.380
2,0:55,1,10,LAR 33,3,14,Josh Allen pass complete deep right to Cole Beasley for 29 yards (tackle by John Johnson),3.380,6.280
2,0:49,1,4,LAR 4,3,14,T.J. Yeldon right end for 1 yard (tackle by Morgan Fox and John Johnson),6.280,5.530
2,0:43,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:43,2,3,LAR 3,3,20,"Josh Allen pass complete short right to Tyler Kroft for 3 yards, touchdown",5.530,7.000
2,0:38,,,LAR 15,3,21,Tyler Bass kicks extra point good,0.000,0.000
2,0:38,,,BUF 35,3,21,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,0:38,1,10,LAR 25,3,21,Jared Goff pass complete short middle to Cooper Kupp for 10 yards (tackle by Tremaine Edmunds),0.610,1.270
2,0:23,1,10,LAR 35,3,21,Jared Goff pass incomplete short left intended for Malcolm Brown (defended by Mario Addison),1.270,0.720
2,0:19,,,,,,Timeout #1 by Buffalo Bills,,
2,0:19,2,10,LAR 35,3,21,"Jared Goff right end for 1 yard (tackle by Quinton Jefferson). Penalty on Rob Havenstein: Offensive Holding, 10 yards (no play)",0.720,-0.630
2,0:12,2,20,LAR 25,3,21,Malcolm Brown left guard for 4 yards (tackle by Jerry Hughes),-0.630,-0.760
Quarter,Time,Down,ToGo,Location,LAR,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,3,21,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,3,21,Robert Woods left end for 9 yards (tackle by Levi Wallace),0.610,1.280
3,14:27,2,1,LAR 34,3,21,Malcolm Brown up the middle for no gain (tackle by Matt Milano and Tremaine Edmunds),1.280,0.560
3,13:42,3,1,LAR 34,3,21,Darrell Henderson right tackle for 12 yards (tackle by Micah Hyde),0.560,1.990
3,13:20,1,10,LAR 46,3,21,Jared Goff pass complete short left to Darrell Henderson for 6 yards (tackle by Jordan Poyer),1.990,2.260
3,12:36,,,,,,Timeout #1 by Los Angeles Rams,,
3,12:36,2,4,BUF 48,3,21,Jared Goff pass incomplete short left intended for Robert Woods (defended by Mario Addison),2.260,1.550
3,12:31,3,4,BUF 48,3,21,Jared Goff pass incomplete short middle intended for Cooper Kupp,1.550,0.070
3,12:27,4,4,BUF 48,3,21,Jared Goff pass incomplete deep right intended for Josh Reynolds,0.070,-2.130
3,12:21,1,10,BUF 48,3,21,Josh Allen pass complete short left to Devin Singletary for 34 yards (tackle by John Johnson),2.130,4.370
3,11:36,1,10,LAR 18,3,21,Devin Singletary up the middle for 2 yards (tackle by Michael Brockers and Micah Kiser),4.370,4.090
3,11:00,2,8,LAR 16,3,21,"Josh Allen pass complete short right to Gabriel Davis for 3 yards (tackle by Troy Hill). Penalty on Brian Winters: Illegal Block Above the Waist, 10 yards (no play)",4.090,2.750
3,10:33,2,18,LAR 26,3,21,Josh Allen pass complete short left to Cole Beasley for 12 yards (tackle by Taylor Rapp),2.750,3.630
3,9:49,3,6,LAR 14,3,21,Josh Allen pass complete short middle to Tyler Kroft for 13 yards (tackle by Darious Williams),3.630,6.970
3,9:25,1,1,LAR 1,3,21,Josh Allen right tackle for -3 yards (tackle by Aaron Donald),6.970,5.340
3,8:48,2,4,LAR 4,3,21,Josh Allen pass complete short left to Cole Beasley for no gain (tackle by Taylor Rapp),5.340,4.490
3,8:10,3,4,LAR 4,3,27,"Josh Allen pass complete short left to Stefon Diggs for 4 yards, touchdown, touchdown",4.490,7.000
3,8:05,,,LAR 15,3,28,Tyler Bass kicks extra point good,0.000,0.000
3,8:05,,,BUF 35,3,28,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,8:05,1,10,LAR 25,3,28,Darrell Henderson right end for 14 yards (tackle by Micah Hyde),0.610,1.530
3,7:42,1,10,LAR 39,3,28,Jared Goff pass complete short right to Tyler Higbee for 9 yards (tackle by Jordan Poyer),1.530,2.200
3,6:59,2,1,LAR 48,3,28,Darrell Henderson up the middle for 7 yards (tackle by Taron Johnson and Vernon Butler),2.200,2.590
3,6:35,1,10,BUF 45,3,28,Jared Goff pass incomplete short left intended for Darrell Henderson,2.590,2.040
3,6:30,2,10,BUF 45,3,28,Jared Goff pass complete short middle to Cooper Kupp for 20 yards (tackle by Levi Wallace and Jordan Poyer),2.040,3.910
3,6:09,1,10,BUF 25,3,28,Jared Goff pass complete short middle to Gerald Everett for 18 yards (tackle by Levi Wallace and Jordan Poyer),3.910,5.600
3,5:33,1,7,BUF 7,3,28,Malcolm Brown up the middle for 6 yards (tackle by Jordan Poyer),5.600,5.910
3,4:49,2,1,BUF 1,9,28,"Jared Goff up the middle for 1 yard, touchdown",5.910,7.000
3,4:47,,,BUF 15,10,28,Sam Sloman kicks extra point good,0.000,0.000
3,4:47,,,LAR 35,10,28,"Sam Sloman kicks off 70 yards, returned by Andre Roberts for 34 yards (tackle by Ogbonnia Okoronkwo)",0.000,0.870
3,4:41,1,10,BUF 29,10,28,"Devin Singletary left end for 2 yards (tackle by John Johnson and Micah Kiser). Penalty on Mitch Morse: Offensive Holding, 10 yards",0.870,0.340
3,4:20,1,18,BUF 21,10,28,Josh Allen pass deep left intended for Tyler Kroft is intercepted by John Johnson at LA-41 and returned for no gain. Penalty on Tyler Kroft: Offensive Pass Interference (Declined),0.340,-1.660
3,4:13,1,10,LAR 41,10,28,Malcolm Brown right guard for 3 yards (tackle by Taron Johnson),1.660,1.530
3,3:42,2,7,LAR 44,10,28,Jared Goff pass complete deep right to Tyler Higbee for 31 yards (tackle by Jordan Poyer),1.530,3.910
3,3:02,1,10,BUF 25,16,28,"Jared Goff pass complete short right to Robert Woods for 25 yards, touchdown, touchdown",3.910,7.000
3,2:52,,,BUF 15,17,28,Sam Sloman kicks extra point good,0.000,0.000
3,2:52,,,LAR 35,17,28,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
3,2:52,1,10,BUF 25,17,28,Josh Allen pass incomplete short right intended for Stefon Diggs,0.610,0.060
3,2:45,2,10,BUF 25,17,28,Josh Allen pass complete short left to Devin Singletary for 7 yards (tackle by Troy Hill and Kenny Young),0.060,0.300
3,2:02,3,3,BUF 32,17,28,Josh Allen sacked by Leonard Floyd for -7 yards,0.300,-1.700
3,1:30,4,10,BUF 25,17,28,Corey Bojorquez punts 72 yards downed by Siran Neal,-1.700,0.380
3,1:17,1,10,LAR 3,17,28,Jared Goff pass complete short middle to Josh Reynolds for 17 yards (tackle by Micah Hyde),-0.380,0.280
3,0:36,1,10,LAR 20,17,28,Darrell Henderson left guard for 5 yards (tackle by Trent Murphy and Jordan Poyer),0.280,0.410
Quarter,Time,Down,ToGo,Location,LAR,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,LAR 25,17,28,Jared Goff pass complete short left to Robert Woods for -6 yards (tackle by Taron Johnson),0.410,-1.140
4,14:15,3,11,LAR 19,17,28,Jared Goff pass complete deep right to Cooper Kupp for 17 yards (tackle by Taron Johnson),-1.140,1.330
4,13:29,1,10,LAR 36,17,28,Jared Goff pass incomplete short right intended for Malcolm Brown,1.330,0.790
4,13:24,2,10,LAR 36,17,28,Robert Woods left end for 15 yards (tackle by Micah Hyde),0.790,2.320
4,12:42,1,10,BUF 49,17,28,"Darrell Henderson left end for 2 yards (tackle by Matt Milano). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",2.320,1.660
4,12:18,1,20,LAR 41,17,28,Malcolm Brown left end for 4 yards (tackle by Matt Milano and Jerry Hughes),1.660,0.970
4,11:54,2,16,LAR 45,17,28,Jared Goff pass complete short left to Cooper Kupp for 8 yards (tackle by Taron Johnson and Levi Wallace),0.970,1.360
4,11:07,3,8,BUF 47,17,28,Jared Goff pass complete deep middle to Robert Woods for 31 yards (tackle by Tremaine Edmunds),1.360,4.510
4,10:40,1,10,BUF 16,23,28,"Jared Goff pass complete short left to Cooper Kupp for 16 yards, touchdown",4.510,7.000
4,10:34,,,BUF 2,25,28,"Two Point Attempt: Jared Goff pass complete to Tyler Higbee, conversion succeeds",1.000,1.000
4,10:34,,,LAR 35,25,28,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
4,10:34,1,10,BUF 25,25,28,Devin Singletary left guard for 5 yards (tackle by Troy Hill and Sebastian Joseph),0.610,0.740
4,9:54,2,5,BUF 30,25,28,Devin Singletary left end for 17 yards (tackle by Taylor Rapp),0.740,2.060
4,9:20,1,10,BUF 47,25,28,Josh Allen pass complete short left to Stefon Diggs for 23 yards (tackle by Darious Williams),2.060,3.580
4,8:47,1,10,LAR 30,25,28,Josh Allen sacked by Aaron Donald for -12 yards,3.580,1.410
4,8:21,2,22,LAR 42,25,28,Josh Allen pass complete short middle to Stefon Diggs for 5 yards (tackle by Troy Hill),1.410,1.420
4,7:32,,,,,,Timeout #2 by Los Angeles Rams,,
4,7:32,3,17,LAR 37,25,28,"Penalty on Daryl Williams: False Start, 5 yards (no play)",1.420,0.760
4,7:32,3,22,LAR 42,25,28,"Josh Allen sacked by Aaron Donald for -6 yards. Josh Allen fumbles (forced by Aaron Donald), recovered by Aaron Donald at LA-48 (tackle by Brian Winters). Penalty on Josh Allen: Unsportsmanlike Conduct, 15 yards",0.760,-3.120
4,7:25,1,10,BUF 37,25,28,Jared Goff pass complete deep left to Josh Reynolds for 23 yards (tackle by Jordan Poyer),3.120,4.650
4,6:53,1,10,BUF 14,25,28,Robert Woods left end for 6 yards (tackle by Micah Hyde),4.650,5.090
4,6:14,2,4,BUF 8,25,28,Darrell Henderson up the middle for 4 yards (tackle by Jordan Poyer),5.090,6.280
4,5:36,1,4,BUF 4,25,28,Darrell Henderson left tackle for 2 yards (tackle by Trent Murphy),6.280,5.720
4,4:56,2,2,BUF 2,25,28,Darrell Henderson up the middle for 1 yard (tackle by Jordan Poyer),5.720,5.170
4,4:33,3,1,BUF 1,31,28,"Darrell Henderson left tackle for 1 yard, touchdown",5.170,7.000
4,4:30,,,BUF 15,32,28,Sam Sloman kicks extra point good,0.000,0.000
4,4:30,,,LAR 35,32,28,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
4,4:30,1,10,BUF 25,32,28,Josh Allen pass complete short left to Cole Beasley for 18 yards (tackle by Taylor Rapp),0.610,1.800
4,3:51,1,10,BUF 43,32,28,Josh Allen sacked by Morgan Fox for -12 yards,1.800,-0.370
4,3:31,2,22,BUF 31,32,28,Josh Allen pass incomplete short left intended for Cole Beasley,-0.370,-1.020
4,3:20,3,22,BUF 31,32,28,Josh Allen pass complete deep middle to Cole Beasley for 22 yards (tackle by Taylor Rapp),-1.020,2.460
4,2:31,1,10,LAR 47,32,28,Josh Allen pass complete short left to Isaiah McKenzie for 6 yards (tackle by Ogbonnia Okoronkwo),2.460,2.720
4,2:00,2,4,LAR 41,32,28,Devin Singletary right tackle for 7 yards (tackle by Leonard Floyd and Aaron Donald),2.720,3.310
4,1:37,1,10,LAR 34,32,28,Josh Allen pass complete short middle to Cole Beasley for 19 yards (tackle by Troy Hill),3.310,4.580
4,0:57,1,10,LAR 15,32,28,Josh Allen pass incomplete short right intended for Isaiah McKenzie,4.580,3.950
4,0:49,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:49,2,10,LAR 15,32,28,"Josh Allen pass incomplete short left. Penalty on Josh Allen: Face Mask (15 Yards), 15 yards (no play)",3.950,2.000
4,0:40,2,25,LAR 30,32,28,Josh Allen pass incomplete deep right intended for Devin Singletary,2.000,1.350
4,0:31,3,25,LAR 30,32,28,Josh Allen pass complete deep middle to Stefon Diggs for 17 yards (tackle by Terrell Burgess),1.350,2.570
4,0:25,,,,,,Timeout #1 by Buffalo Bills,,
4,0:25,4,8,LAR 13,32,28,"Josh Allen pass incomplete short left intended for Gabriel Davis. Penalty on Darious Williams: Defensive Pass Interference, 10 yards (no play)",2.570,6.510
4,0:21,1,3,LAR 3,32,34,"Josh Allen pass complete short left to Tyler Kroft for 3 yards, touchdown",6.510,7.000
4,0:15,,,LAR 15,32,35,Tyler Bass kicks extra point good,0.000,0.000
4,0:15,,,BUF 35,32,35,"Tyler Bass kicks off 55 yards, returned by Raymond Calais for 15 yards (tackle by Tyler Matakevich and Deon Lacey)",0.000,0.610
4,0:10,1,10,LAR 25,32,35,"Jared Goff pass complete short right to Robert Woods for 12 yards. Robert Woods fumbles, recovered by Josh Reynolds at LA-37 and returned for -2 yards, lateral to Cooper Kupp for no gain, lateral to Van Jefferson for -11 yards. Van Jefferson fumbles, recovered by Josh Reynolds at LA-16 and returned for -2 yards. Josh Reynolds fumbles, recovered by Tre'Davious White at LA-24 and returned for -1 yards. Penalty on Robert Woods: Illegal Blindside Block (Declined)",0.610,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
