Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 67 yards, returned by Steve Slaton for 22 yards (tackle by Tim Shaw)",0.000,0.610
1,14:55,1,10,HOU 25,0,0,Matt Schaub pass complete short middle to Andre Johnson for 5 yards (tackle by Stephen Tulloch),0.610,0.740
1,14:28,2,5,HOU 30,0,0,Matt Schaub pass complete short right to Andre Johnson for 5 yards (tackle by Cortland Finnegan),0.740,1.270
1,13:52,1,10,HOU 35,0,0,Arian Foster right guard for 4 yards (tackle by Alterraun Verner),1.270,1.260
1,13:17,2,6,HOU 39,0,0,Matt Schaub pass incomplete short middle intended for Andre Johnson (defended by Gerald McRath),1.260,0.560
1,13:12,3,6,HOU 39,0,0,Matt Schaub pass complete short middle to Arian Foster for 19 yards (tackle by William Hayes),0.560,2.790
1,12:35,1,10,TEN 42,0,0,Derrick Ward right tackle for 1 yard (tackle by Gerald McRath and Sen'Derrick Marks),2.790,2.380
1,12:02,2,9,TEN 41,0,0,Arian Foster left end for 4 yards (tackle by Stephen Tulloch and Michael Griffin),2.380,2.210
1,11:21,3,5,TEN 37,0,0,Matt Schaub pass incomplete short middle intended for Jacoby Jones,2.210,0.790
1,11:15,4,5,TEN 37,0,0,Matt Schaub pass complete short middle to Andre Johnson for 2 yards (tackle by Jason McCourty),0.790,-1.270
1,11:10,1,10,TEN 35,0,0,Rusty Smith sacked by Mario Williams for 0 yards,1.270,0.720
1,10:39,2,10,TEN 35,0,0,Chris Johnson left tackle for 5 yards (tackle by Bernard Pollard),0.720,0.700
1,10:39,3,5,TEN 40,0,0,"Penalty on Michael Roos: False Start, 5 yards (no play)",0.700,0.040
1,9:36,3,10,TEN 35,0,0,Rusty Smith pass incomplete deep middle intended for Justin Gage (defended by Kareem Jackson),0.040,-1.040
1,9:28,4,10,TEN 35,0,0,"Brett Kern punts 56 yards, returned by Jacoby Jones for 14 yards (tackle by Ryan Mouton)",-1.040,-0.480
1,9:16,1,10,HOU 23,0,0,Matt Schaub pass incomplete short left intended for Vonta Leach,0.480,-0.070
1,9:08,2,10,HOU 23,0,0,Matt Schaub pass complete deep middle to Andre Johnson for 21 yards (tackle by Chris Hope and Michael Griffin),-0.070,1.860
1,8:29,1,10,HOU 44,0,0,Arian Foster left tackle for 1 yard (tackle by Stephen Tulloch),1.860,1.450
1,7:52,2,9,HOU 45,0,0,Arian Foster right end for 7 yards (tackle by Jason McCourty),1.450,1.690
1,7:21,3,2,TEN 48,0,0,Arian Foster right tackle for 4 yards (tackle by Stephen Tulloch and Chris Hope),1.690,2.650
1,6:45,1,10,TEN 44,0,0,Arian Foster left end for 1 yard (tackle by Michael Griffin),2.650,2.250
1,6:05,2,9,TEN 43,0,0,Matt Schaub pass incomplete short left intended for Andre Johnson,2.250,1.550
1,5:59,3,9,TEN 43,0,0,"Penalty on Eric Winston: False Start, 5 yards (no play)",1.550,0.890
1,5:59,3,14,TEN 48,0,0,Matt Schaub pass complete short middle to Jacoby Jones for 4 yards (tackle by Alterraun Verner and Stephen Tulloch),0.890,0.330
1,5:22,4,10,TEN 44,0,0,"Matt Turk punts 44 yards, touchback",0.330,-0.280
1,5:13,1,10,TEN 20,0,0,Chris Johnson right tackle for -1 yards (tackle by Brian Cushing and Zach Diles),0.280,-0.460
1,4:42,2,11,TEN 19,0,0,Rusty Smith pass incomplete short right intended for Nate Washington,-0.460,-1.140
1,4:37,3,11,TEN 19,0,0,Rusty Smith pass complete short middle to Bo Scaife for 10 yards (tackle by Glover Quin and Kevin Bentley),-1.140,-1.440
1,3:54,4,1,TEN 29,0,0,"Brett Kern punts 50 yards, returned by Jacoby Jones for 1 yard (tackle by Patrick Bailey)",-1.440,-0.410
1,3:42,1,10,HOU 22,0,0,Arian Foster right tackle for 4 yards (tackle by William Hayes),0.410,0.410
1,3:07,2,6,HOU 26,0,0,Matt Schaub pass complete short middle to Andre Johnson for 9 yards (tackle by Michael Griffin and Will Witherspoon),0.410,1.270
1,2:29,1,10,HOU 35,0,0,Matt Schaub pass complete short right to Arian Foster for 1 yard (tackle by Gerald McRath and Stephen Tulloch),1.270,0.860
1,1:48,2,9,HOU 36,0,0,Arian Foster right tackle for 3 yards (tackle by Chris Hope),0.860,0.560
1,1:09,3,6,HOU 39,0,0,Matt Schaub pass complete short left to Arian Foster for 5 yards (tackle by Alterraun Verner),0.560,-0.460
1,0:21,,,,0,0,Timeout #1 by Houston Texans,0.000,-0.460
1,0:21,4,1,HOU 44,0,0,Matt Turk punts 52 yards,-0.460,0.380
1,0:08,1,10,TEN 4,0,0,Chris Johnson middle for -2 yards (tackle by Brian Cushing),-0.380,-0.930
Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,TEN 2,0,0,Rusty Smith pass incomplete deep right intended for Nate Washington is intercepted by Glover Quin at TEN-35 and returned for 10 yards,-0.930,-3.910
2,14:49,1,10,TEN 25,0,0,Matt Schaub pass complete short right to Vonta Leach for 7 yards (tackle by Michael Griffin),3.910,4.370
2,14:12,2,3,TEN 18,0,0,Arian Foster left tackle for 1 yard (tackle by Gerald McRath),4.370,3.850
2,13:33,3,2,TEN 17,0,0,Matt Schaub pass complete short right to Arian Foster for 16 yards (tackle by Alterraun Verner),3.850,6.970
2,12:51,1,1,TEN 1,0,6,"Matt Schaub pass complete short middle to Joel Dreessen for 1 yard, touchdown",6.970,7.000
2,,,,TEN 2,0,7,Neil Rackers kicks extra point good,0.000,0.000
2,,,,HOU 30,0,7,"Neil Rackers kicks off 70 yards, returned by Marc Mariani for 27 yards (tackle by James Casey)",0.000,0.740
2,12:40,1,10,TEN 27,0,7,Rusty Smith pass incomplete short right intended for Nate Washington,0.740,0.200
2,12:35,2,10,TEN 27,0,7,Rusty Smith pass incomplete short middle intended for Randy Moss (defended by Glover Quin),0.200,-0.490
2,12:29,3,10,TEN 27,0,7,Rusty Smith pass complete short left to Randy Moss for 14 yards,-0.490,1.660
2,12:00,1,10,TEN 41,0,7,Nate Washington left end for -8 yards (tackle by Earl Mitchell),1.660,0.040
