Unnamed: 0,BUF,MIA
First Downs,26,16
Rush-Yds-TDs,36-128-0,20-108-1
Cmp-Att-Yd-TD-INT,30-38-359-2-2,17-27-173-1-2
Sacked-Yards,3-14,1-6
Net Pass Yards,345,167
Total Yards,473,275
Fumbles-Lost,1-1,0-0
Turnovers,3,2
Penalties-Yards,6-41,4-29
Third Down Conv.,9-15,4-10
Fourth Down Conv.,1-3,0-0
Time of Possession,38:07,21:53
