Quarter,Time,Tm,Detail,BUF,MIA
2.0,8:51,Dolphins,De'Von Achane 25 yard rush (Jason Sanders kick),0,7
,4:31,Bills,Trent Sherfield 6 yard pass from Josh Allen (Tyler Bass kick),7,7
,1:43,Dolphins,Tyreek Hill 3 yard pass from Tua Tagovailoa (Jason Sanders kick),7,14
4.0,13:42,Bills,Deonte Harty 96 yard punt return (Tyler Bass kick),14,14
,7:16,Bills,Dawson Knox 5 yard pass from Josh Allen (Tyler Bass kick),21,14
