Quarter,Time,Tm,Detail,DEN,KAN
1,9:24,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),0,7
,2:49,Broncos,Jason Elam 32 yard field goal,3,7
2,9:31,Chiefs,Morten Andersen 41 yard field goal,3,10
,3:06,Chiefs,Morten Andersen 32 yard field goal,3,13
,0:07,Broncos,Jason Elam 33 yard field goal,6,13
3,11:38,Broncos,Shannon Sharpe 82 yard pass from Brian Griese (Jason Elam kick),13,13
,8:28,Chiefs,Tony Richardson 14 yard rush (Morten Andersen kick),13,20
,4:37,Broncos,Clinton Portis 2 yard rush (Jason Elam kick),20,20
,0:37,Chiefs,Priest Holmes 4 yard rush (Morten Andersen kick),20,27
4,12:42,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),20,34
,10:51,Broncos,Shannon Sharpe 28 yard pass from Brian Griese (Jason Elam kick),27,34
,0:21,Broncos,Mike Anderson 2 yard rush (Jason Elam kick),34,34
OT,12:03,Broncos,Jason Elam 25 yard field goal,37,34
