Unnamed: 0,DEN,KAN
First Downs,22,24
Rush-Yds-TDs,27-141-2,31-162-4
Cmp-Att-Yd-TD-INT,30-50-376-2-0,20-33-172-0-0
Sacked-Yards,1-10,4-29
Net Pass Yards,366,143
Total Yards,507,305
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,8-75,5-50
Third Down Conv.,5-15,4-13
Fourth Down Conv.,2-3,0-0
Time of Possession,31:19,31:38
