Quarter,Time,Tm,Detail,ATL,CAR
1.0,8:43,Falcons,Warrick Dunn 30 yard rush (Morten Andersen kick),7,0
2.0,4:20,Panthers,Ken Lucas 27 yard defensive fumble return (John Kasay kick),7,7
,0:00,Panthers,John Kasay 29 yard field goal,7,10
3.0,3:24,Falcons,Morten Andersen 36 yard field goal,10,10
4.0,11:35,Falcons,Morten Andersen 47 yard field goal,13,10
,3:35,Panthers,John Kasay 31 yard field goal,13,13
,0:20,Falcons,Alge Crumpler 30 yard pass from Joey Harrington (Morten Andersen kick),20,13
