Unnamed: 0,ATL,CAR
First Downs,12,10
Rush-Yds-TDs,28-88-1,28-90-0
Cmp-Att-Yd-TD-INT,20-27-201-1-0,13-29-153-0-1
Sacked-Yards,2-12,2-8
Net Pass Yards,189,145
Total Yards,277,235
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,9-68,6-43
Third Down Conv.,5-16,3-16
Fourth Down Conv.,0-0,0-1
Time of Possession,31:40,28:20
