Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mark Ingram,BAL,9,34,1,1,19,2.1,15,1.7,2,4.5
Lamar Jackson,BAL,7,65,1,2,33,4.7,32,4.6,0,
Gus Edwards,BAL,4,17,0,2,6,1.5,11,2.8,0,
Justice Hill,BAL,3,11,0,1,6,2.0,5,1.7,0,
Robert Griffin III,BAL,0,9,0,1,9,,0,,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Joe Mixon,CIN,30,114,0,7,55,1.8,59,2.0,1,30.0
Ryan Finley,CIN,5,22,0,2,18,3.6,4,0.8,0,
Giovani Bernard,CIN,4,8,0,1,7,1.8,1,0.3,1,4.0
Alex Erickson,CIN,1,13,0,1,10,10.0,3,3.0,0,
