Unnamed: 0,BAL,CIN
First Downs,20,21
Rush-Yds-TDs,23-136-2,40-157-0
Cmp-Att-Yd-TD-INT,18-22-243-3-1,16-30-167-1-1
Sacked-Yards,1-0,2-17
Net Pass Yards,243,150
Total Yards,379,307
Fumbles-Lost,0-0,3-2
Turnovers,1,3
Penalties-Yards,5-35,1-5
Third Down Conv.,4-6,7-15
Fourth Down Conv.,1-1,1-4
Time of Possession,23:49,36:11
