Quarter,Time,Tm,Detail,BAL,CIN
1.0,12:18,Ravens,Mark Andrews 2 yard pass from Lamar Jackson (Justin Tucker kick),7,0
,3:54,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),14,0
2.0,13:34,Bengals,Randy Bullock 42 yard field goal,14,3
,9:28,Ravens,Mark Andrews 17 yard pass from Lamar Jackson (Justin Tucker kick),21,3
,3:42,Ravens,Marcus Peters 89 yard interception return (Justin Tucker kick),28,3
,0:26,Bengals,Tyler Eifert 6 yard pass from Ryan Finley (Randy Bullock kick),28,10
3.0,8:08,Ravens,Lamar Jackson 47 yard rush (Justin Tucker kick),35,10
,5:13,Ravens,Marquise Brown 20 yard pass from Lamar Jackson (Justin Tucker kick),42,10
,2:14,Ravens,Tyus Bowser 33 yard fumble return (Justin Tucker kick),49,10
4.0,2:29,Bengals,Randy Bullock 39 yard field goal,49,13
