Unnamed: 0,CAR,ARI
First Downs,26,15
Rush-Yds-TDs,27-74-1,25-99-1
Cmp-Att-Yd-TD-INT,24-37-422-2-1,18-27-309-2-0
Sacked-Yards,4-19,2-14
Net Pass Yards,403,295
Total Yards,477,394
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,10-74,6-61
Third Down Conv.,3-11,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,32:47,27:13
