Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
1,7:23,,,,0,7,Timeout #1 by Carolina Panthers,0.000,-0.560
1,7:23,3,7,CAR 23,6,7,"Cam Newton pass complete deep left to Steve Smith for 77 yards, touchdown",-0.560,7.000
1,,,,ARI 2,7,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,CAR 35,7,7,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
1,7:11,1,10,ARI 20,7,7,"Chris Wells left tackle for 4 yards (tackle by Charles Johnson). Penalty on Lyle Sendlein: Offensive Holding, 10 yards (no play)",0.280,-0.760
1,6:43,1,20,ARI 10,7,7,Kevin Kolb pass incomplete short left intended for Demarco Sampson (defended by Sherrod Martin),-0.760,-1.510
1,6:39,2,20,ARI 10,7,7,"Kevin Kolb sacked by Greg Hardy for -7 yards. Kevin Kolb fumbles (forced by Greg Hardy), recovered by Daryn Colledge at ARI-7",-1.510,-2.940
1,5:48,,,,7,7,Timeout #1 by Arizona Cardinals,0.000,-2.940
1,5:48,3,23,ARI 7,7,7,Kevin Kolb pass complete short right to Chris Wells for 10 yards (tackle by Charles Godfrey),-2.940,-2.320
1,5:13,4,13,ARI 17,7,7,"Dave Zastudil punts 49 yards, returned by Armanti Edwards for 12 yards (tackle by Daryl Washington). Penalty on Seyi Ajirotutu: Illegal Block Above the Waist, 10 yards",-2.320,-0.940
1,4:59,1,10,CAR 30,7,7,"Penalty on Jeremy Shockey: False Start, 5 yards (no play)",0.940,0.610
1,4:59,1,15,CAR 25,7,7,Cam Newton pass complete short right to Steve Smith for 9 yards (tackle by A.J. Jefferson),0.610,0.930
1,4:19,2,6,CAR 34,7,7,Cam Newton up the middle for -4 yards (tackle by Richard Marshall),0.930,-0.300
1,3:43,3,10,CAR 30,7,7,Cam Newton pass incomplete deep left intended for Greg Olsen,-0.300,-1.370
1,3:35,4,10,CAR 30,7,7,"Jason Baker punts 45 yards, fair catch by Patrick Peterson",-1.370,-0.610
1,3:27,1,10,ARI 25,7,7,Chris Wells left tackle for no gain (tackle by Sione Fua),0.610,0.060
1,2:49,2,10,ARI 25,7,7,Chris Wells up the middle for 11 yards (tackle by Thomas Davis),0.060,1.330
1,2:16,1,10,ARI 36,7,7,Chris Wells left tackle for -1 yards (tackle by James Anderson),1.330,0.660
1,1:39,2,11,ARI 35,7,7,Kevin Kolb pass complete short right to Anthony Sherman for 6 yards (tackle by Captain Munnerlyn),0.660,0.760
1,0:59,3,5,ARI 41,7,7,Kevin Kolb pass incomplete short left intended for Larry Fitzgerald. Penalty on Brandon Keith: Illegal Formation (Declined),0.760,-0.650
1,0:55,4,5,ARI 41,7,7,"Dave Zastudil punts 42 yards, returned by Armanti Edwards for no gain",-0.650,0.060
1,0:46,1,10,CAR 17,7,7,Cam Newton pass complete deep left to Legedu Naanee for 21 yards (tackle by Kerry Rhodes),-0.060,1.470
1,0:07,1,10,CAR 38,7,7,Cam Newton right tackle for 3 yards (tackle by Paris Lenon),1.470,1.330
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CAR 41,7,7,"Penalty on Jeff Otah: False Start, 5 yards (no play)",1.330,0.650
2,15:00,2,12,CAR 36,7,7,Cam Newton pass complete short left to Brandon LaFell for 24 yards,0.650,2.920
2,14:28,1,10,ARI 40,7,7,Cam Newton pass incomplete short left intended for Brandon LaFell,2.920,2.370
2,14:21,2,10,ARI 40,7,7,Jonathan Stewart up the middle for 11 yards (tackle by Clark Haggans and Kerry Rhodes),2.370,3.640
2,13:43,1,10,ARI 29,7,7,Jonathan Stewart right tackle for no gain (tackle by Adrian Wilson),3.640,3.100
2,13:04,2,10,ARI 29,7,7,Cam Newton sacked by Kerry Rhodes for -6 yards,3.100,1.620
2,12:24,3,16,ARI 35,7,7,Cam Newton pass incomplete short middle intended for Legedu Naanee. Penalty on Byron Bell: Illegal Use of Hands (Declined),1.620,0.970
2,12:19,4,16,ARI 35,7,7,"Jason Baker punts 35 yards, touchback",0.970,-0.280
2,12:10,1,10,ARI 20,7,7,Kevin Kolb pass complete short left to Todd Heap for 20 yards (tackle by Jon Beason and Sherrod Martin),0.280,1.600
2,11:35,1,10,ARI 40,7,7,Chris Wells right end for 6 yards (tackle by Captain Munnerlyn),1.600,1.860
2,11:03,2,4,ARI 46,7,7,Chris Wells left tackle for 6 yards (tackle by Sione Fua),1.860,2.390
2,10:25,1,10,CAR 48,7,7,Kevin Kolb pass complete short right to Andre Roberts for 17 yards (tackle by Charles Godfrey),2.390,3.510
2,9:46,1,10,CAR 31,7,7,Chris Wells right tackle for 6 yards (tackle by Jon Beason and Thomas Davis),3.510,3.780
2,9:11,2,4,CAR 25,7,7,LaRod Stephens-Howling right tackle for no gain (tackle by James Anderson and Greg Hardy),3.780,3.070
2,8:29,3,4,CAR 25,7,7,Kevin Kolb pass complete short left to Early Doucet for 19 yards (tackle by Jordan Pugh),3.070,5.830
2,7:43,1,6,CAR 6,7,7,Kevin Kolb pass complete short right to LaRod Stephens-Howling for 2 yards (tackle by Thomas Davis),5.830,5.340
2,7:14,2,4,CAR 4,7,7,"Kevin Kolb for no gain. Kevin Kolb fumbles, recovered by Thomas Davis at CAR-12 (tackle by Kevin Kolb)",5.340,0.350
2,7:08,1,10,CAR 12,7,7,Jonathan Stewart left tackle for no gain (tackle by Daryl Washington),-0.350,-0.780
2,6:29,2,10,CAR 12,7,7,"Jonathan Stewart left tackle for 29 yards (tackle by Kerry Rhodes and A.J. Jefferson). Penalty on Travelle Wharton: Offensive Holding, 6 yards (no play)",-0.780,-1.220
2,5:56,2,16,CAR 6,7,7,Cam Newton pass complete short right to Brandon LaFell for 6 yards (tackle by A.J. Jefferson),-1.220,-1.420
2,5:11,3,10,CAR 12,7,7,Cam Newton right end for 2 yards (tackle by Paris Lenon),-1.420,-2.470
2,4:32,4,8,CAR 14,7,7,"Jason Baker punts 56 yards, returned by Patrick Peterson for 9 yards (tackle by Omar Gaither)",-2.470,-1.530
2,4:19,1,10,ARI 39,7,7,Chris Wells up the middle for 5 yards (tackle by James Anderson),1.530,1.660
2,3:47,2,5,ARI 44,7,7,Kevin Kolb pass complete short left to Andre Roberts for 4 yards (tackle by Charles Johnson),1.660,1.490
2,3:14,3,1,ARI 48,7,7,Chris Wells right end for 22 yards (tackle by Sherrod Martin),1.490,3.580
2,2:48,1,10,CAR 30,7,7,LaRod Stephens-Howling left tackle for 2 yards (tackle by Terrell McClain),3.580,3.300
2,2:13,2,8,CAR 28,7,7,Kevin Kolb pass complete deep left to Larry Fitzgerald for 23 yards (tackle by Sherrod Martin),3.300,6.060
2,2:00,1,5,CAR 5,7,7,Kevin Kolb pass incomplete short right intended for Jeff King,6.060,5.150
2,1:54,2,5,CAR 5,7,7,"Chris Wells right tackle for no gain (tackle by Jon Beason and Captain Munnerlyn). Penalty on Andre Roberts: Illegal Crackback, 15 yards (no play)",5.150,3.000
2,1:48,2,20,CAR 20,7,7,Kevin Kolb pass complete short left to Larry Fitzgerald for 5 yards (tackle by Chris Gamble),3.000,2.930
2,1:13,3,15,CAR 15,7,7,Kevin Kolb pass complete short left to Chris Wells for -3 yards (tackle by Jon Beason),2.930,2.250
2,1:08,,,,7,7,Timeout #2 by Carolina Panthers,0.000,2.250
2,1:08,4,18,CAR 18,7,7,Jay Feely 36 yard field goal no good,2.250,-0.670
2,1:03,1,10,CAR 26,7,7,Cam Newton right end for 12 yards (tackle by Daryl Washington),0.670,1.470
2,0:55,1,10,CAR 38,7,7,Cam Newton pass complete short right to DeAngelo Williams for 6 yards (tackle by Paris Lenon),1.470,1.730
2,0:28,2,4,CAR 44,7,7,"Cam Newton pass incomplete short right intended for Greg Olsen is intercepted by Daryl Washington at ARI-41 and returned for 4 yards (tackle by Greg Olsen). Penalty on Richard Marshall: Roughing the Passer, 15 yards (no play)",1.730,2.850
2,0:22,1,10,ARI 41,7,7,Cam Newton pass complete short left to Jonathan Stewart for 15 yards (tackle by Richard Marshall),2.850,3.840
2,0:13,1,10,ARI 26,13,7,"Cam Newton pass complete deep left to Steve Smith for 26 yards, touchdown",3.840,7.000
2,,,,ARI 2,14,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,CAR 35,14,7,"Olindo Mare kicks off 59 yards, returned by LaRod Stephens-Howling for 27 yards (tackle by Sherrod Martin)",0.000,1.270
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,14,7,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,ARI 20,14,7,Kevin Kolb pass incomplete short left intended for Larry Fitzgerald,0.280,-0.270
3,14:57,2,10,ARI 20,14,7,Chris Wells right tackle for 2 yards (tackle by Charles Johnson),-0.270,-0.690
3,14:17,3,8,ARI 22,14,7,Kevin Kolb pass complete short right to Chris Wells for 2 yards (tackle by Thomas Davis),-0.690,-1.770
3,13:43,4,6,ARI 24,14,7,Dave Zastudil punts 52 yards (tackle by Reggie Walker),-1.770,-1.200
3,13:30,1,10,CAR 34,14,7,Jonathan Stewart left end for 13 yards (tackle by Joey Porter),1.200,2.060
3,13:01,1,10,CAR 47,14,7,Cam Newton pass incomplete deep right intended for Steve Smith,2.060,1.520
,,,,,,,"ARI challenged the pass completion ruling, and the original play was overturned.",,
3,12:55,2,10,CAR 47,14,7,DeAngelo Williams right tackle for 2 yards (tackle by Darnell Dockett),1.520,1.090
3,12:16,3,8,CAR 49,14,7,Cam Newton pass complete short right to Greg Olsen for 12 yards (tackle by Joey Porter),1.090,2.980
3,11:36,1,10,ARI 39,14,7,"Jonathan Stewart up the middle for -1 yards (tackle by Kerry Rhodes and Clark Haggans). Penalty on Jeff Otah: Offensive Holding, 10 yards (no play)",2.980,2.320
3,11:05,1,20,ARI 49,14,7,Cam Newton pass incomplete short left intended for Steve Smith is intercepted by Daryl Washington at ARI-36 and returned for 16 yards (tackle by Cam Newton),2.320,-2.390
3,10:52,1,10,CAR 48,14,13,"Kevin Kolb pass complete deep right to Jeff King for 48 yards, touchdown",2.390,7.000
3,,,,CAR 2,14,14,Jay Feely kicks extra point good,0.000,0.000
3,,,,ARI 35,14,14,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
3,10:40,1,10,CAR 20,14,14,DeAngelo Williams up the middle for no gain (tackle by Dan Williams),0.280,-0.270
3,9:59,2,10,CAR 20,14,14,DeAngelo Williams up the middle for -2 yards (tackle by Dan Williams and Joey Porter),-0.270,-1.330
3,9:18,3,12,CAR 18,14,14,Cam Newton pass complete short left to Brandon LaFell for 13 yards (tackle by Patrick Peterson),-1.330,1.000
3,8:39,1,10,CAR 31,14,14,DeAngelo Williams up the middle for 2 yards (tackle by Vonnie Holliday),1.000,0.730
3,7:56,2,8,CAR 33,14,14,Cam Newton pass complete deep left to Jeremy Shockey for 22 yards (tackle by Patrick Peterson),0.730,2.590
3,7:12,1,10,ARI 45,14,14,Cam Newton pass complete deep right to Greg Olsen for 43 yards (tackle by Paris Lenon),2.590,6.740
3,6:29,,,,14,14,Timeout #1 by Arizona Cardinals,0.000,6.740
3,6:29,1,2,ARI 2,14,14,Cam Newton up the middle for 1 yard (tackle by Dan Williams),6.740,5.910
3,5:54,2,1,ARI 1,20,14,"Cam Newton up the middle for 1 yard, touchdown. Penalty on Cam Newton: Unsportsmanlike Conduct, 15 yards",5.910,7.000
3,,,,ARI 2,21,14,Olindo Mare kicks extra point good,0.000,0.000
3,,,,CAR 20,21,14,"Olindo Mare kicks off 72 yards, returned by LaRod Stephens-Howling for 33 yards (tackle by Charles Godfrey)",0.000,1.660
3,5:41,1,10,ARI 41,21,14,Kevin Kolb pass incomplete short right intended for Andre Roberts (defended by Captain Munnerlyn),1.660,1.120
3,5:34,2,10,ARI 41,21,14,Chris Wells right tackle for 4 yards (tackle by Greg Hardy and Dan Connor),1.120,0.960
3,4:58,3,6,ARI 45,21,14,"Penalty on Todd Heap: False Start, 5 yards (no play)",0.960,0.300
3,4:34,3,11,ARI 40,21,14,"Kevin Kolb pass incomplete short right intended for Early Doucet (defended by Chris Gamble). Penalty on Thomas Davis: Illegal Contact, 5 yards (no play)",0.300,1.930
3,4:26,1,10,ARI 45,21,14,Chris Wells up the middle for 1 yard (tackle by Dan Connor),1.930,1.520
3,3:45,2,9,ARI 46,21,14,Kevin Kolb pass incomplete short right intended for Andre Roberts (defended by Greg Hardy),1.520,0.830
3,3:38,3,9,ARI 46,21,14,Kevin Kolb pass incomplete short right intended for Larry Fitzgerald (defended by Chris Gamble),0.830,-0.320
3,3:34,4,9,ARI 46,21,14,"Dave Zastudil punts 37 yards, returned by Armanti Edwards for 3 yards (tackle by LaRod Stephens-Howling)",-0.320,-0.280
3,3:25,1,10,CAR 20,21,14,Jonathan Stewart left end for -3 yards (tackle by David Carter),0.280,-0.790
3,2:43,2,13,CAR 17,21,14,Cam Newton pass complete short left to Jeremy Shockey for 14 yards (tackle by Patrick Peterson),-0.790,1.000
3,2:38,1,10,CAR 31,21,14,Cam Newton pass complete short left to Greg Olsen for 13 yards,1.000,1.860
3,2:11,1,10,CAR 44,21,14,DeAngelo Williams left tackle for 8 yards (tackle by Kerry Rhodes),1.860,2.400
3,1:29,2,2,ARI 48,21,14,DeAngelo Williams up the middle for 2 yards (tackle by Daryl Washington and Paris Lenon),2.400,2.520
3,0:41,1,10,ARI 46,21,14,DeAngelo Williams right tackle for 5 yards (tackle by Kerry Rhodes and Darnell Dockett),2.520,2.650
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,ARI 41,21,14,Jonathan Stewart up the middle for 6 yards (tackle by Adrian Wilson),2.650,3.250
4,14:22,1,10,ARI 35,21,14,Jonathan Stewart left tackle for -1 yards (tackle by Daryl Washington),3.250,2.570
4,13:42,2,11,ARI 36,21,14,Cam Newton pass incomplete short left intended for Steve Smith,2.570,1.880
4,13:38,3,11,ARI 36,21,14,Cam Newton sacked by Daryl Washington and O'Brien Schofield for -4 yards,1.880,0.590
4,13:04,4,15,ARI 40,21,14,"Jason Baker punts 30 yards, fair catch by Patrick Peterson",0.590,0.380
4,13:01,1,10,ARI 10,21,14,Chris Wells right tackle for 4 yards (tackle by Dan Connor),-0.380,-0.460
4,12:25,2,6,ARI 14,21,14,Kevin Kolb pass complete short left to Jeff King for 13 yards (tackle by Thomas Davis),-0.460,0.740
4,11:46,1,10,ARI 27,21,14,Kevin Kolb pass incomplete deep right intended for Larry Fitzgerald,0.740,0.200
4,11:39,2,10,ARI 27,21,14,Kevin Kolb pass complete short right to Chris Wells for 3 yards (tackle by Dan Connor),0.200,-0.100
4,11:01,3,7,ARI 30,21,20,"Kevin Kolb pass complete short middle to Early Doucet for 70 yards, touchdown",-0.100,7.000
4,,,,CAR 2,21,21,Jay Feely kicks extra point good,0.000,0.000
4,,,,ARI 35,21,21,"Jay Feely kicks off 70 yards, returned by Mike Goodson for 31 yards (tackle by O'Brien Schofield)",0.000,0.670
4,10:41,1,10,CAR 26,21,21,Cam Newton pass complete deep left to Steve Smith for 16 yards (tackle by Patrick Peterson),0.670,1.730
4,10:01,1,10,CAR 42,21,21,Cam Newton pass complete short left to Steve Smith for 8 yards (tackle by Daryl Washington),1.730,2.270
4,9:37,2,2,,21,21,DeAngelo Williams up the middle for 6 yards (tackle by Reggie Walker),2.270,2.650
4,9:07,1,10,ARI 44,21,21,"Penalty on Legedu Naanee: False Start, 5 yards (no play)",2.650,2.320
4,8:44,1,15,ARI 49,21,21,Cam Newton pass incomplete short middle intended for DeAngelo Williams,2.320,1.440
4,8:37,2,15,ARI 49,21,21,Cam Newton pass complete short left to Steve Smith for 5 yards (tackle by Patrick Peterson),1.440,1.420
4,8:04,3,10,ARI 44,21,21,Cam Newton sacked by Richard Marshall for -3 yards,1.420,0.130
4,7:36,4,13,ARI 47,21,27,"Jason Baker punts 36 yards, returned by Patrick Peterson for 89 yards, touchdown",0.130,-7.000
4,,,,CAR 2,21,28,Jay Feely kicks extra point good,0.000,0.000
4,,,,ARI 35,21,28,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
4,7:15,1,10,CAR 20,21,28,Cam Newton pass incomplete short right intended for Jonathan Stewart,0.280,-0.270
4,7:08,2,10,CAR 20,21,28,Cam Newton pass complete short right to Jeremy Shockey for 15 yards (tackle by A.J. Jefferson),-0.270,1.270
4,6:43,1,10,CAR 35,21,28,Cam Newton pass incomplete short right intended for Greg Olsen,1.270,0.720
4,6:36,2,10,CAR 35,21,28,Cam Newton pass complete short right to Jonathan Stewart for -1 yards (tackle by Calais Campbell),0.720,-0.100
4,5:51,3,11,CAR 34,21,28,Cam Newton up the middle for 2 yards (tackle by Nick Eason and Paris Lenon),-0.100,-0.980
4,5:14,4,9,CAR 36,21,28,Jason Baker punts 53 yards,-0.980,0.370
4,5:01,1,10,ARI 11,21,28,Chris Wells left tackle for 1 yard (tackle by Dan Connor),-0.370,-0.710
4,4:21,2,9,ARI 12,21,28,Chris Wells right tackle for 3 yards (tackle by Dan Connor),-0.710,-0.950
4,3:39,3,6,ARI 15,21,28,Kevin Kolb pass complete deep right to Larry Fitzgerald for 34 yards (tackle by Chris Gamble and Sherrod Martin),-0.950,2.190
4,2:52,1,10,ARI 49,21,28,Chris Wells up the middle for 2 yards (tackle by Charles Godfrey and Andre Neblett),2.190,1.920
4,2:44,,,,21,28,Timeout #1 by Carolina Panthers,0.000,1.920
4,2:44,2,8,CAR 49,21,28,Chris Wells left end for 2 yards (tackle by Sherrod Martin),1.920,1.490
4,2:36,,,,21,28,Timeout #2 by Carolina Panthers,0.000,1.490
4,2:36,3,6,CAR 47,21,28,Kevin Kolb pass incomplete short right intended for Todd Heap,1.490,0.130
4,2:29,4,6,CAR 47,21,28,Dave Zastudil punts 30 yards,0.130,0.060
4,2:20,1,10,CAR 17,21,28,Cam Newton pass complete short right to Greg Olsen for 10 yards (tackle by Kerry Rhodes),-0.060,0.740
4,2:01,1,10,CAR 27,21,28,Cam Newton pass complete deep right to Brandon LaFell for 27 yards (tackle by A.J. Jefferson),0.740,2.520
4,1:54,1,10,ARI 46,21,28,Cam Newton for 1 yard (tackle by Calais Campbell),2.520,2.110
4,1:47,2,9,ARI 45,21,28,"Cam Newton pass complete deep right to Steve Smith for 23 yards (tackle by Kerry Rhodes). Penalty on Clark Haggans: Roughing the Passer, 11 yards",2.110,4.840
4,1:39,1,10,ARI 11,21,28,Cam Newton pass incomplete short right intended for Mike Goodson,4.840,4.140
4,1:34,2,10,ARI 11,21,28,Cam Newton pass incomplete short middle intended for Legedu Naanee (defended by Calais Campbell),4.140,3.130
4,1:30,3,10,ARI 11,21,28,Cam Newton pass incomplete short left intended for Legedu Naanee,3.130,2.700
4,1:25,4,10,ARI 11,21,28,"Cam Newton pass incomplete short right intended for Greg Olsen. Penalty on Joey Porter: Defensive Offside, 5 yards (no play)",2.700,2.990
4,1:19,,,,21,28,Timeout #2 by Arizona Cardinals,0.000,2.990
4,1:19,4,5,ARI 6,21,28,Cam Newton pass complete short middle to Mike Goodson for 4 yards (tackle by Paris Lenon),2.990,0.380
4,1:14,1,10,ARI 2,21,28,Kevin Kolb up the middle for 1 yard (tackle by Greg Hardy),-0.380,-0.710
4,1:10,,,,21,28,Timeout #3 by Carolina Panthers,0.000,-0.710
4,1:10,2,9,ARI 3,21,28,Kevin Kolb kneels for -1 yards,-0.710,-1.420
4,0:28,3,10,ARI 2,21,28,Kevin Kolb kneels for -1 yards,-1.420,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
