Quarter,Time,Tm,Detail,CAR,ARI
1.0,8:45,Cardinals,Beanie Wells 7 yard rush (Jay Feely kick),0,7
,7:11,Panthers,Steve Smith Sr. 77 yard pass from Cam Newton (Olindo Mare kick),7,7
2.0,0:06,Panthers,Steve Smith Sr. 26 yard pass from Cam Newton (Olindo Mare kick),14,7
3.0,10:40,Cardinals,Jeff King 48 yard pass from Kevin Kolb (Jay Feely kick),14,14
,5:49,Panthers,Cam Newton 1 yard rush (Olindo Mare kick),21,14
4.0,10:48,Cardinals,Early Doucet 70 yard pass from Kevin Kolb (Jay Feely kick),21,21
,7:15,Cardinals,Patrick Peterson 89 yard punt return (Jay Feely kick),21,28
