Quarter,Time,Tm,Detail,WAS,PHI
1.0,8:15,Football Team,Antonio Gibson 1 yard rush (Brian Johnson kick),7,0
,2:47,Football Team,Brian Johnson 22 yard field goal,10,0
2.0,8:07,Eagles,Jake Elliott 20 yard field goal,10,3
,1:29,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),10,10
3.0,12:26,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),10,17
,0:18,Eagles,Jake Elliott 37 yard field goal,10,20
4.0,11:44,Football Team,Jaret Patterson 1 yard rush (Brian Johnson kick),17,20
,7:46,Eagles,Greg Ward 19 yard pass from Jalen Hurts (Jake Elliott kick),17,27
