Unnamed: 0,WAS,PHI
First Downs,14,23
Rush-Yds-TDs,21-63-2,41-238-2
Cmp-Att-Yd-TD-INT,20-31-194-0-0,20-26-296-1-1
Sacked-Yards,2-20,3-15
Net Pass Yards,174,281
Total Yards,237,519
Fumbles-Lost,2-0,2-1
Turnovers,0,2
Penalties-Yards,2-25,4-48
Third Down Conv.,6-13,7-13
Fourth Down Conv.,0-1,0-1
Time of Possession,24:43,35:17
