Unnamed: 0,CLE,BAL
First Downs,16,22
Rush-Yds-TDs,29-109-1,28-129-0
Cmp-Att-Yd-TD-INT,14-28-177-0-1,22-36-312-2-0
Sacked-Yards,4-27,1-22
Net Pass Yards,150,290
Total Yards,259,419
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,7-58,8-55
Third Down Conv.,3-13,4-13
Fourth Down Conv.,1-1,0-1
Time of Possession,30:43,29:17
