Quarter,Time,Tm,Detail,CLE,BAL
2.0,8:05,Ravens,Justin Tucker 25 yard field goal,0,3
,2:32,Browns,Garrett Hartley 38 yard field goal,3,3
3.0,3:29,Browns,Terrance West 2 yard rush (Garrett Hartley kick),10,3
4.0,10:37,Ravens,Justin Tucker 28 yard field goal,10,6
,7:33,Ravens,Torrey Smith 16 yard pass from Joe Flacco (Justin Tucker kick),10,13
,3:44,Ravens,Kamar Aiken 2 yard pass from Joe Flacco (Justin Tucker kick),10,20
