Unnamed: 0,TAM,NOR
First Downs,18,16
Rush-Yds-TDs,20-146-0,27-101-0
Cmp-Att-Yd-TD-INT,24-41-221-1-1,23-32-343-3-1
Sacked-Yards,2-15,1-6
Net Pass Yards,206,337
Total Yards,352,438
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,7-66,7-51
Third Down Conv.,2-12,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,28:28,31:32
