Quarter,Time,Tm,Detail,TAM,NOR
1.0,11:27,Saints,David Patten 39 yard pass from Drew Brees (Martin Gramatica kick),0,7
,8:13,Buccaneers,Phillip Buchanon 26 yard interception return (Matt Bryant kick),7,7
2.0,0:03,Buccaneers,Matt Bryant 37 yard field goal,10,7
3.0,2:49,Saints,Martin Gramatica 34 yard field goal,10,10
,0:33,Buccaneers,Matt Bryant 33 yard field goal,13,10
,0:13,Saints,Devery Henderson 84 yard pass from Drew Brees (Martin Gramatica kick),13,17
4.0,10:38,Buccaneers,Ike Hilliard 2 yard pass from Jeff Garcia (Matt Bryant kick),20,17
,7:38,Saints,Reggie Bush 42 yard pass from Drew Brees (Martin Gramatica kick),20,24
