Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 68 yards, returned by Pierre Thomas for 22 yards (tackle by Maurice Stovall)",0.000,0.540
1,14:55,1,10,NOR 24,0,0,Pierre Thomas left guard for 4 yards (tackle by Barrett Ruud),0.540,0.540
1,14:22,2,6,NOR 28,0,0,Drew Brees pass complete short left to Reggie Bush for 16 yards (tackle by Tanard Jackson),0.540,1.860
1,13:52,1,10,NOR 44,0,0,Reggie Bush left tackle for 10 yards (tackle by Ronde Barber),1.860,2.520
1,13:06,1,10,TAM 46,0,0,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",2.520,2.190
1,12:43,1,15,NOR 49,0,0,Drew Brees pass complete short right to Pierre Thomas for 5 yards (tackle by Barrett Ruud),2.190,1.980
1,12:11,2,10,TAM 46,0,0,Drew Brees pass complete short middle to Reggie Bush for 7 yards (tackle by Phillip Buchanon),1.980,2.210
1,11:34,3,3,TAM 39,0,6,"Drew Brees pass complete deep left to David Patten for 39 yards, touchdown",2.210,7.000
1,,,,TAM 2,0,7,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,NOR 30,0,7,Martin Gramatica kicks off 43 yards,0.000,0.740
1,11:22,1,10,TAM 27,0,7,Earnest Graham left tackle for 3 yards (tackle by Will Smith),0.740,0.600
1,11:00,2,7,TAM 30,0,7,Jeff Garcia pass incomplete. Penalty on Jeremy Trueblood: Ineligible Downfield Pass (Declined),0.600,-0.100
1,10:53,3,7,TAM 30,0,7,Jeff Garcia up the middle for 1 yard (tackle by Charles Grant),-0.100,-1.310
1,10:17,4,6,TAM 31,0,7,Josh Bidwell punts 60 yards,-1.310,0.380
1,10:05,1,10,NOR 9,0,7,Drew Brees pass complete short left to Reggie Bush for 11 yards (tackle by Tanard Jackson),-0.380,0.280
1,9:35,1,10,NOR 20,0,7,Reggie Bush right guard for -1 yards (tackle by Jermaine Phillips and Barrett Ruud),0.280,-0.460
1,8:55,2,11,NOR 19,0,7,"Drew Brees pass complete short right to Pierre Thomas for 6 yards (tackle by Ronde Barber). Penalty on Jamar Nesbit: Offensive Holding, 10 yards",-0.460,-1.070
1,8:24,2,15,NOR 15,6,7,"Drew Brees pass incomplete short right intended for Lance Moore is intercepted by Phillip Buchanon at NOR-26 and returned for 26 yards, touchdown",-1.070,-7.000
1,,,,NOR 2,7,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,TAM 30,7,7,"Matt Bryant kicks off 69 yards, returned by Pierre Thomas for 11 yards (tackle by Tanard Jackson). Penalty on Marvin Mitchell: Offensive Holding (Declined), Penalty on Chris Reis: Illegal Block Above the Waist, 6 yards",0.000,-0.380
1,8:06,1,10,NOR 6,7,7,Drew Brees pass incomplete deep left intended for Devery Henderson,-0.380,-0.780
1,8:00,2,10,NOR 6,7,7,Reggie Bush right guard for 4 yards (tackle by Barrett Ruud and Jermaine Phillips),-0.780,-0.950
1,7:20,3,6,NOR 10,7,7,Drew Brees pass incomplete short middle intended for Marques Colston,-0.950,-2.490
1,7:15,4,6,NOR 10,7,7,"Steve Weatherford punts 48 yards, returned by Dexter Jackson for 4 yards (tackle by Marvin Mitchell)",-2.490,-1.990
1,7:04,1,10,TAM 46,7,7,Jeff Garcia pass complete short left to Antonio Bryant for 5 yards (tackle by Scott Fujita),1.990,2.130
1,6:24,2,5,NOR 49,7,7,Jeff Garcia pass complete short left to Warrick Dunn for 11 yards (tackle by Scott Fujita),2.130,3.050
1,5:49,1,10,NOR 38,7,7,Warrick Dunn right guard for 1 yard (tackle by Kendrick Clancy),3.050,2.640
1,5:10,2,9,NOR 37,7,7,Jeff Garcia pass incomplete short right intended for Antonio Bryant,2.640,1.950
1,5:04,3,9,NOR 37,7,7,Jeff Garcia pass incomplete short right intended for Joey Galloway,1.950,0.790
1,5:00,4,9,NOR 37,7,7,"Josh Bidwell punts 23 yards, fair catch by Lance Moore",0.790,0.280
1,4:53,1,10,NOR 14,7,7,"Penalty on Mark Campbell: False Start, 5 yards (no play)",-0.280,-0.570
1,4:53,1,15,NOR 9,7,7,"Penalty on Jonathan Goodwin: False Start, 5 yards (no play)",-0.570,-0.760
1,4:53,1,20,NOR 4,7,7,Pierre Thomas left tackle for 5 yards (tackle by Chris Hovan),-0.760,-1.150
1,4:16,2,15,NOR 9,7,7,Pierre Thomas right tackle for 18 yards (tackle by Derrick Brooks),-1.150,0.740
