Unnamed: 0,PHI,NYG
First Downs,9,25
Rush-Yds-TDs,23-87-1,41-180-0
Cmp-Att-Yd-TD-INT,9-23-64-0-1,22-36-174-1-0
Sacked-Yards,3-17,3-15
Net Pass Yards,47,159
Total Yards,134,339
Fumbles-Lost,3-1,3-2
Turnovers,2,2
Penalties-Yards,6-35,6-66
Third Down Conv.,4-13,7-17
Fourth Down Conv.,0-0,0-1
Time of Possession,24:18,35:42
