Unnamed: 0,NYG,SEA
First Downs,18,26
Rush-Yds-TDs,15-73-0,41-106-1
Cmp-Att-Yd-TD-INT,24-36-275-3-3,24-33-227-5-3
Sacked-Yards,1-11,0-0
Net Pass Yards,264,227
Total Yards,337,333
Fumbles-Lost,1-1,0-0
Turnovers,4,3
Penalties-Yards,8-63,4-22
Third Down Conv.,2-9,10-16
Fourth Down Conv.,1-1,1-1
Time of Possession,22:00,38:00
