Quarter,Time,Tm,Detail,DET,ARI
2.0,6:28,Cardinals,Bryant Johnson 2 yard pass from Matt Leinart (Neil Rackers kick),0,7
,1:53,Cardinals,Neil Rackers 36 yard field goal,0,10
3.0,11:57,Cardinals,Matt Leinart 9 yard rush (Neil Rackers kick),0,17
,2:50,Lions,Jason Hanson 32 yard field goal,3,17
4.0,4:35,Lions,Arlen Harris 1 yard rush (Jason Hanson kick),10,17
