Unnamed: 0,DET,ARI
First Downs,19,20
Rush-Yds-TDs,20-68-1,29-110-1
Cmp-Att-Yd-TD-INT,23-38-248-0-1,19-29-233-1-0
Sacked-Yards,4-35,1-5
Net Pass Yards,213,228
Total Yards,281,338
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,4-28,4-34
Third Down Conv.,4-12,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,29:17,30:43
