Unnamed: 0,NYG,SFO
First Downs,19,14
Rush-Yds-TDs,37-149-1,17-80-0
Cmp-Att-Yd-TD-INT,15-28-193-1-0,23-37-282-0-3
Sacked-Yards,0-0,6-48
Net Pass Yards,193,234
Total Yards,342,314
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,2-20,6-35
Third Down Conv.,5-15,4-14
Fourth Down Conv.,0-0,0-2
Time of Possession,32:15,27:45
