Quarter,Time,Tm,Detail,NYG,SFO
1.0,2:00,49ers,David Akers 42 yard field goal,0,3
2.0,10:04,Giants,Victor Cruz 6 yard pass from Eli Manning (Lawrence Tynes kick),7,3
,2:56,Giants,Lawrence Tynes 34 yard field goal,10,3
3.0,11:48,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),17,3
,9:51,Giants,Lawrence Tynes 30 yard field goal,20,3
,6:10,Giants,Lawrence Tynes 22 yard field goal,23,3
4.0,1:56,Giants,Lawrence Tynes 32 yard field goal,26,3
