0,1
Game Info,Game Info
Won Toss,Buccaneers (deferred)
Roof,outdoors
Surface,grass
Duration,3:08
Attendance,68912
Weather,"79 degrees, relative humidity 74%, wind 4 mph"
Vegas Line,Tampa Bay Buccaneers -1.5
Over/Under,45.5 (over)
