Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Jake Camarda kicks off 65 yards, returned by Devin Duvernay for 21 yards (tackle by Jamel Dean)",0.000,0.340
1,14:54,1,10,BAL 21,0,0,Lamar Jackson pass complete short left to Mark Andrews for 22 yards (tackle by Keanu Neal and Mike Edwards),0.340,1.800
1,14:18,1,10,BAL 43,0,0,Lamar Jackson pass complete short right to Mark Andrews for 5 yards (tackle by Keanu Neal and Shaquil Barrett),1.800,1.930
1,13:35,2,5,BAL 48,0,0,Lamar Jackson pass complete short right to Kenyan Drake for -4 yards (tackle by Devin White),1.930,0.690
1,12:51,3,9,BAL 44,0,0,Lamar Jackson pass incomplete short middle intended for Mark Andrews (defended by Lavonte David),0.690,-0.460
1,12:47,4,9,BAL 44,0,0,"Jordan Stout punts 50 yards, recovered by Kevon Seymour at TB-6",-0.460,5.830
1,12:37,1,6,TAM 6,0,0,Lamar Jackson up the middle for -4 yards (tackle by Shaquil Barrett),5.830,4.190
1,11:53,2,10,TAM 10,0,0,Lamar Jackson pass complete short left to James Proche for 6 yards (tackle by Mike Edwards),4.190,4.490
1,11:10,3,4,TAM 4,0,0,Lamar Jackson pass incomplete short right intended for Mark Andrews (defended by Zyon McCollum),4.490,3.030
1,11:06,4,4,TAM 4,3,0,Justin Tucker 22 yard field goal good,3.030,3.000
1,11:03,,,BAL 35,3,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,11:03,1,10,TAM 25,3,0,Tom Brady pass incomplete short left intended for Cade Otton,0.610,0.060
1,10:58,2,10,TAM 25,3,0,Leonard Fournette right tackle for 9 yards (tackle by Geno Stone and Damarion Williams),0.060,0.560
1,10:16,3,1,TAM 34,3,0,Leonard Fournette right tackle for 5 yards (tackle by Chuck Clark and Broderick Washington),0.560,1.530
1,9:41,1,10,TAM 39,3,0,Tom Brady pass complete short right to Ko Kieft for 9 yards (tackle by Devon Kennard),1.530,2.200
1,9:02,2,1,TAM 48,3,0,Tom Brady pass complete short middle to Chris Godwin for 44 yards (tackle by Geno Stone),2.200,5.370
1,8:22,1,8,BAL 8,3,0,Leonard Fournette right tackle for -2 yards (tackle by Devon Kennard),5.370,4.190
1,7:43,2,10,BAL 10,3,0,"Tom Brady pass incomplete short left intended for Mike Evans. Penalty on Marcus Peters: Defensive Holding, 5 yards (accepted) (no play)",4.190,6.060
1,7:36,1,5,BAL 5,3,0,Leonard Fournette up the middle for 4 yards (tackle by Travis Jones and Damarion Williams),6.060,5.910
1,6:58,2,1,BAL 1,3,6,"Leonard Fournette left tackle for 1 yard, touchdown",5.910,7.000
1,6:56,,,BAL 15,3,7,Ryan Succop kicks extra point good,0.000,0.000
1,6:56,,,TAM 35,3,7,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
1,6:56,1,10,BAL 25,3,7,Lamar Jackson pass complete short middle to Josh Oliver for 4 yards (tackle by Lavonte David),0.610,0.600
1,6:11,2,6,BAL 29,3,7,Gus Edwards left guard for -1 yards (tackle by Shaquil Barrett),0.600,-0.230
1,5:27,3,7,BAL 28,3,7,Lamar Jackson pass incomplete intended for James Proche,-0.230,-1.500
1,5:18,4,7,BAL 28,3,7,"Jordan Stout punts 53 yards, returned by Jaelon Darden for 18 yards (tackle by Kyle Hamilton and Nick Moore)",-1.500,-1.400
1,5:07,1,10,TAM 37,3,7,Leonard Fournette right tackle for no gain (tackle by Brent Urban and Malik Harrison),1.400,0.860
1,4:36,2,10,TAM 37,3,7,Tom Brady pass complete deep right to Mike Evans for 23 yards (tackle by Chuck Clark),0.860,2.920
1,3:57,1,10,BAL 40,3,7,Tom Brady pass complete short left to Chris Godwin for 9 yards (tackle by Justin Madubuike and Damarion Williams),2.920,3.590
1,3:19,2,1,BAL 31,3,7,Leonard Fournette right end for 1 yard (tackle by Odafe Oweh),3.590,3.580
1,2:38,1,10,BAL 30,3,7,Tom Brady pass complete short left to Chris Godwin for 8 yards (tackle by A.J. Klein),3.580,4.110
1,1:55,2,2,BAL 22,3,7,Tom Brady pass complete short right to Breshad Perriman for 11 yards (tackle by Geno Stone),4.110,4.840
1,1:16,1,10,BAL 11,3,7,Tom Brady pass complete short right to Rachaad White for -2 yards (tackle by A.J. Klein),4.840,3.830
1,0:37,2,12,BAL 13,3,7,Tom Brady pass incomplete short left intended for Mike Evans,3.830,3.080
1,0:34,3,12,BAL 13,3,7,Tom Brady pass incomplete short middle intended for Cade Otton,3.080,2.570
1,0:30,4,12,BAL 13,3,10,Ryan Succop 31 yard field goal good,2.570,3.000
1,0:26,,,TAM 35,3,10,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
1,0:26,1,10,BAL 25,3,10,Lamar Jackson pass incomplete short middle intended for Isaiah Likely,0.610,0.060
1,0:22,2,10,BAL 25,3,10,Lamar Jackson sacked by Vita Vea for -12 yards,0.060,-2.750
Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,22,BAL 13,3,10,Lamar Jackson pass complete to Devin Duvernay for no gain (tackle by Dee Delaney and Devin White),-2.750,-2.490
2,14:25,4,22,BAL 13,3,10,"Jordan Stout punts 57 yards, returned by Jaelon Darden for 15 yards (tackle by Nick Moore)",-2.490,-1.930
