Unnamed: 0,BAL,TAM
First Downs,27,20
Rush-Yds-TDs,33-231-1,15-44-1
Cmp-Att-Yd-TD-INT,27-38-238-2-0,26-44-325-1-0
Sacked-Yards,3-16,3-20
Net Pass Yards,222,305
Total Yards,453,349
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,7-101,4-35
Third Down Conv.,6-13,4-13
Fourth Down Conv.,0-1,1-1
Time of Possession,38:23,21:37
