Quarter,Time,Down,ToGo,Location,JAX,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Aldrick Rosas kicks off 63 yards, returned by Jaydon Mickens for no gain (tackle by Nathan Stupar and Michael Thomas)",0.000,0.280
1,14:55,1,10,JAX 20,0,0,Leonard Fournette left end for -1 yards (tackle by Damon Harrison and Alec Ogletree),0.280,-0.460
1,14:19,2,11,JAX 19,0,0,Blake Bortles pass complete deep left,-0.460,2.260
1,13:38,1,10,JAX 50,0,0,Corey Grant right end for 3 yards (tackle by Ray-Ray Armstrong and B.W. Webb),2.260,2.120
1,12:58,2,7,NYG 47,0,0,Leonard Fournette left end for 12 yards (tackle by B.J. Goodson and Curtis Riley),2.120,3.250
1,12:19,1,10,NYG 35,0,0,Leonard Fournette left tackle for 6 yards (tackle by Janoris Jenkins),3.250,3.510
1,11:42,2,4,NYG 29,0,0,Blake Bortles pass incomplete short right intended for Dede Westbrook,3.510,2.810
1,11:36,3,4,NYG 29,0,0,Blake Bortles pass complete short right to Dede Westbrook for 6 yards (tackle by Eli Apple). Penalty on Ray-Ray Armstrong: Defensive Offside (Declined),2.810,4.040
1,11:10,1,10,NYG 23,0,0,Leonard Fournette left tackle for 2 yards (tackle by Ray-Ray Armstrong and Damon Harrison),4.040,3.770
1,10:27,2,8,NYG 21,0,0,Blake Bortles pass incomplete short left intended for T.J. Yeldon,3.770,3.070
1,10:22,3,8,NYG 21,0,0,Blake Bortles pass incomplete deep right intended for Donte Moncrief (defended by Eli Apple),3.070,2.060
1,10:17,4,8,NYG 21,3,0,Josh Lambo 39 yard field goal good,2.060,3.000
1,10:12,,,JAX 35,3,0,"Josh Lambo kicks off 66 yards, returned by Cody Latimer for no gain (tackle by Ronnie Harrison and Tre Herndon)",0.000,-0.280
1,10:07,1,10,NYG 14,3,0,"Eli Manning pass complete short right to Odell Beckham for 6 yards (tackle by Jalen Ramsey and Telvin Smith). Penalty on Ereck Flowers: Tripping, 7 yards (no play)",-0.280,-0.650
1,9:49,1,17,NYG 7,3,0,Saquon Barkley right guard for no gain (tackle by Calais Campbell and A.J. Bouye),-0.650,-1.290
1,9:13,2,17,NYG 7,3,0,"Eli Manning pass complete deep right to Evan Engram for 34 yards (tackle by A.J. Bouye). Penalty on Ereck Flowers: Offensive Holding, 3 yards (no play)",-1.290,-1.510
1,8:41,2,20,NYG 4,3,0,Saquon Barkley up the middle for -3 yards (tackle by Malik Jackson),-1.510,-2.940
1,7:55,3,23,NYG 1,3,0,Eli Manning pass complete short right to Rhett Ellison for 16 yards (tackle by Leon Jacobs and Telvin Smith),-2.940,-2.320
1,7:18,4,7,NYG 17,3,0,Riley Dixon punts 48 yards downed by Nathan Stupar,-2.320,-1.270
1,7:04,1,10,JAX 35,3,0,Blake Bortles pass complete short right to Leonard Fournette for 11 yards (tackle by Alec Ogletree),1.270,1.990
1,6:31,1,10,JAX 46,3,0,Blake Bortles sacked by Kerry Wynn and B.J. Goodson for -8 yards,1.990,0.370
1,5:47,2,18,JAX 38,3,0,Blake Bortles pass deep left intended for Donte Moncrief is intercepted by Janoris Jenkins at NYG-37 and returned for no gain,0.370,-1.400
1,5:40,1,10,NYG 37,3,0,Saquon Barkley right guard for 10 yards (tackle by Jalen Ramsey),1.400,2.060
1,5:05,1,10,NYG 47,3,0,Eli Manning pass complete deep left to Odell Beckham for 24 yards (tackle by Barry Church),2.060,3.640
1,4:17,1,10,JAX 29,3,0,Saquon Barkley right guard for 5 yards (tackle by Malik Jackson and Marcell Dareus),3.640,3.780
1,3:32,2,5,JAX 24,3,0,Eli Manning pass complete short left to Odell Beckham for 3 yards (tackle by D.J. Hayden),3.780,3.470
1,3:15,3,2,JAX 21,3,0,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by Tashaun Gipson and D.J. Hayden),3.470,5.370
1,2:34,1,8,JAX 8,3,0,Saquon Barkley up the middle for 4 yards (tackle by Marcell Dareus),5.370,5.340
1,1:52,2,4,JAX 4,3,0,Saquon Barkley right guard for -4 yards (tackle by Barry Church and Jarrod Wilson),5.340,3.580
1,1:13,3,8,JAX 8,3,0,Odell Beckham left end for -1 yards (tackle by Barry Church),3.580,2.830
1,0:26,4,9,JAX 9,3,3,Aldrick Rosas 27 yard field goal good,2.830,3.000
