Unnamed: 0,JAX,NYG
First Downs,17,15
Rush-Yds-TDs,28-137-0,23-114-1
Cmp-Att-Yd-TD-INT,18-33-176-1-1,23-37-224-0-1
Sacked-Yards,1-8,2-14
Net Pass Yards,168,210
Total Yards,305,324
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,11-119,6-43
Third Down Conv.,4-13,4-13
Fourth Down Conv.,0-0,0-2
Time of Possession,29:31,30:29
