Unnamed: 0,PIT,ARI
First Downs,20,17
Rush-Yds-TDs,35-140-0,22-71-0
Cmp-Att-Yd-TD-INT,16-19-152-1-0,20-30-194-2-3
Sacked-Yards,3-17,5-29
Net Pass Yards,135,165
Total Yards,275,236
Fumbles-Lost,3-2,1-0
Turnovers,2,3
Penalties-Yards,4-20,7-75
Third Down Conv.,4-11,4-11
Fourth Down Conv.,0-1,1-3
Time of Possession,31:54,28:06
