Quarter,Time,Tm,Detail,PIT,ARI
1.0,4:20,Steelers,Chris Boswell 30 yard field goal,3,0
,2:52,Steelers,Diontae Johnson 85 yard punt return (Chris Boswell kick),10,0
2.0,11:15,Cardinals,Zane Gonzalez 30 yard field goal,10,3
,1:51,Cardinals,Charles Clay 5 yard pass from Kyler Murray (Zane Gonzalez kick),10,10
,0:00,Steelers,Chris Boswell 37 yard field goal,13,10
3.0,2:00,Steelers,Diontae Johnson 2 yard pass from Devlin Hodges (Chris Boswell kick),20,10
4.0,6:44,Cardinals,David Johnson 24 yard pass from Kyler Murray (Zane Gonzalez kick),20,17
,1:42,Steelers,Chris Boswell 25 yard field goal,23,17
