Quarter,Time,Tm,Detail,PIT,MIN
1.0,11:07,Steelers,Jeff Reed 21 yard field goal,3,0
,1:59,Vikings,Paul Edinger 20 yard field goal,3,3
2.0,3:30,Steelers,Ben Roethlisberger 3 yard rush (Jeff Reed kick),10,3
3.0,3:49,Steelers,Jeff Reed 41 yard field goal,13,3
,0:36,Steelers,Jeff Reed 26 yard field goal,16,3
4.0,11:45,Steelers,"Safety,",18,3
