Quarter,Time,Tm,Detail,JAX,NYJ
1.0,8:12,Jaguars,Matthew Wright 21 yard field goal,3,0
,3:54,Jets,Zach Wilson 52 yard rush (Eddy Pineiro kick failed),3,6
2.0,13:08,Jaguars,Will Richardson fumble recovery in end zone (run failed),9,6
,12:57,Jets,Braxton Berrios 102 yard kickoff return (Eddy Pineiro kick),9,13
,8:15,Jaguars,Matthew Wright 45 yard field goal,12,13
3.0,9:47,Jets,Eddy Pineiro 42 yard field goal,12,16
,0:25,Jaguars,Matthew Wright 40 yard field goal,15,16
4.0,9:16,Jets,Conor McDermott 1 yard pass from Zach Wilson (Eddy Pineiro kick),15,23
,5:25,Jaguars,Dare Ogunbowale 1 yard rush (pass failed),21,23
,1:47,Jets,Eddy Pineiro 20 yard field goal,21,26
