Unnamed: 0,JAX,NYJ
First Downs,27,18
Rush-Yds-TDs,31-132-1,36-273-1
Cmp-Att-Yd-TD-INT,26-39-280-0-0,14-22-102-1-0
Sacked-Yards,1-28,1-2
Net Pass Yards,252,100
Total Yards,384,373
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,2-10,7-81
Third Down Conv.,6-13,4-12
Fourth Down Conv.,2-3,3-5
Time of Possession,32:18,27:42
