Quarter,Time,Tm,Detail,SFO,BAL
1.0,11:53,49ers,Deebo Samuel 33 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,0
,5:41,Ravens,Mark Andrews 20 yard pass from Lamar Jackson (Justin Tucker kick),7,7
2.0,11:58,Ravens,Lamar Jackson 1 yard rush (Justin Tucker kick),7,14
,9:12,49ers,Raheem Mostert 40 yard rush (Robbie Gould kick),14,14
,1:58,Ravens,Justin Tucker 30 yard field goal,14,17
3.0,3:37,49ers,Robbie Gould 32 yard field goal,17,17
4.0,0:00,Ravens,Justin Tucker 49 yard field goal,17,20
