Unnamed: 0,SFO,BAL
First Downs,15,21
Rush-Yds-TDs,29-174-1,38-178-1
Cmp-Att-Yd-TD-INT,15-21-165-1-0,14-23-105-1-0
Sacked-Yards,2-8,1-0
Net Pass Yards,157,105
Total Yards,331,283
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,6-54,3-23
Third Down Conv.,4-12,3-10
Fourth Down Conv.,1-2,2-3
Time of Possession,27:34,32:26
