Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Raheem Mostert,SFO,19,146,1,5,95,5.0,51,2.7,1,19.0
Tevin Coleman,SFO,5,6,0,0,6,1.2,0,0.0,0,
Jimmy Garoppolo,SFO,3,5,0,1,5,1.7,0,0.0,0,
George Kittle,SFO,1,-3,0,0,-3,-3.0,0,0.0,0,
Deebo Samuel,SFO,1,20,0,1,14,14.0,6,6.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Lamar Jackson,BAL,16,101,1,10,99,6.2,2,0.1,1,16.0
Mark Ingram,BAL,15,59,0,2,48,3.2,11,0.7,2,7.5
Gus Edwards,BAL,6,15,0,2,14,2.3,1,0.2,0,
Justice Hill,BAL,1,3,0,,2,2.0,1,1.0,0,
