0,1
Game Info,Game Info
Won Toss,Chargers
Roof,outdoors
Surface,grass
Duration,2:47
Attendance,62691
Weather,"76 degrees, relative humidity 63%, wind 8 mph, wind chill 0"
Vegas Line,San Diego Chargers -7.0
Over/Under,45.0 (over)
