Quarter,Time,Down,ToGo,Location,JAX,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 70 yards, returned by Darren Sproles for 26 yards (tackle by Zach Miller)",0.000,0.670
1,14:55,1,10,SDG 26,0,0,Ryan Mathews left end for 6 yards (tackle by Aaron Kampman),0.670,0.940
1,14:18,2,4,SDG 32,0,0,Philip Rivers pass complete short right to Legedu Naanee for 14 yards (tackle by Courtney Greene and Rashean Mathis),0.940,1.990
1,13:39,1,10,SDG 46,0,0,Ryan Mathews left tackle for 15 yards (tackle by Sean Considine),1.990,2.980
1,13:00,1,10,JAX 39,0,0,Darren Sproles middle for 34 yards (tackle by William Middleton),2.980,6.060
1,12:26,1,5,JAX 5,0,0,Ryan Mathews right tackle for 3 yards (tackle by Tyson Alualu and Courtney Greene),6.060,5.720
1,11:46,2,2,JAX 2,0,6,"Mike Tolbert left tackle for 2 yards, touchdown",5.720,7.000
1,,,,JAX 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 67 yards, returned by Tiquan Underwood for 29 yards (tackle by Paul Oliver)",0.000,1.070
1,11:37,1,10,JAX 32,0,7,David Garrard pass complete short right to Rashad Jennings for 5 yards (tackle by Brandon Siler),1.070,1.200
1,11:11,2,5,JAX 37,0,7,Maurice Jones-Drew left tackle for 4 yards (tackle by Brandon Siler and Steve Gregory),1.200,1.030
1,10:34,3,1,JAX 41,0,7,Maurice Jones-Drew right tackle for 2 yards (tackle by Brandon Siler and Paul Oliver),1.030,1.800
1,9:58,1,10,JAX 43,0,7,David Garrard pass incomplete deep left intended for Tiquan Underwood is intercepted by Antoine Cason at SDG-6 and returned for 21 yards,1.800,-0.740
1,9:44,1,10,SDG 27,0,7,Philip Rivers pass complete short left to Ryan Mathews for 12 yards (tackle by Justin Durant),0.740,1.530
1,9:16,1,10,SDG 39,0,7,"Penalty on Malcom Floyd: False Start, 5 yards (no play)",1.530,1.200
1,8:51,1,15,SDG 34,0,7,Philip Rivers sacked by Daryl Smith for -8 yards,1.200,-0.770
1,8:17,2,23,SDG 26,0,7,"Philip Rivers pass complete short middle to Ryan Mathews for 17 yards (tackle by Courtney Greene). Ryan Mathews fumbles (forced by Courtney Greene), recovered by Courtney Greene at SDG-43",-0.770,-2.720
,,,,,,,"SDG challenged the fumble ruling, and the play was upheld.",,
1,8:02,1,10,SDG 43,0,7,Maurice Jones-Drew middle for 2 yards (tackle by Shaun Phillips and Antonio Garay),2.720,2.450
1,7:28,2,8,SDG 41,0,7,David Garrard pass complete short right to Mike Thomas for 13 yards (tackle by Quentin Jammer),2.450,3.710
1,6:55,1,10,SDG 28,0,7,Maurice Jones-Drew middle for 3 yards (tackle by Kevin Burnett),3.710,3.570
1,6:18,2,7,SDG 25,0,7,Maurice Jones-Drew middle for no gain (tackle by Eric Weddle),3.570,2.870
1,5:37,3,7,SDG 25,0,7,David Garrard pass incomplete short left intended for Mike Thomas,2.870,1.800
1,5:33,4,7,SDG 25,3,7,Josh Scobee 44 yard field goal good,1.800,3.000
1,,,,JAX 30,3,7,"Josh Scobee kicks off 75 yards, touchback",0.000,0.280
1,5:29,1,10,SDG 20,3,7,Ryan Mathews right end for -1 yards (tackle by Justin Durant and Rashean Mathis),0.280,-0.460
1,4:50,2,11,SDG 19,3,7,Philip Rivers pass complete deep right to Malcom Floyd for 16 yards (tackle by Rashean Mathis),-0.460,1.270
1,4:09,1,10,SDG 35,3,7,Philip Rivers pass complete deep left to Malcom Floyd for 25 yards (tackle by David Jones),1.270,2.920
1,3:37,1,10,JAX 40,3,7,Ryan Mathews middle for 3 yards (tackle by Courtney Greene and Russell Allen),2.920,2.780
1,2:58,2,7,JAX 37,3,7,Philip Rivers pass complete short middle to Mike Tolbert for 13 yards (tackle by Kirk Morrison),2.780,3.970
1,2:21,1,10,JAX 24,3,7,Darren Sproles right end for no gain (tackle by Terrance Knighton and Aaron Kampman),3.970,3.430
1,1:37,2,10,JAX 24,3,7,Philip Rivers pass complete short left to Antonio Gates for 12 yards (tackle by David Jones and Sean Considine),3.430,4.780
1,0:57,1,10,JAX 12,3,7,Mike Tolbert right end for 5 yards (tackle by Sean Considine and Alvin Bowen),4.780,5.020
1,0:16,2,5,JAX 7,3,7,Mike Tolbert left end for no gain (tackle by Tyson Alualu),5.020,4.160
Quarter,Time,Down,ToGo,Location,JAX,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,JAX 7,3,7,Philip Rivers pass incomplete short left intended for Antonio Gates is intercepted by David Jones at JAX-0,4.160,-0.280
2,14:54,1,10,JAX 20,3,7,"David Garrard pass complete short left to Mike Sims-Walker for 8 yards (tackle by Antoine Cason). Penalty on Marcedes Lewis: Ineligible Downfield Pas, 5 yards (no play)",0.280,-0.310
2,14:29,1,15,JAX 15,3,7,Maurice Jones-Drew middle for 4 yards (tackle by Shawne Merriman and Travis Johnson),-0.310,-0.460
2,13:51,2,11,JAX 19,3,7,David Garrard pass incomplete short left intended for Mike Sims-Walker is intercepted by Antoine Cason at JAX-32 and returned for 2 yards,-0.460,-3.580
2,13:42,1,10,JAX 30,3,7,Mike Tolbert middle for 4 yards (tackle by Courtney Greene),3.580,3.570
2,13:03,2,6,JAX 26,3,7,Philip Rivers pass complete short middle to Darren Sproles for 16 yards (tackle by Courtney Greene and William Middleton),3.570,4.910
2,12:27,1,10,JAX 10,3,7,Darren Sproles left end for 1 yard (tackle by Kirk Morrison),4.910,4.380
2,11:44,2,9,JAX 9,3,7,Philip Rivers pass incomplete short middle intended for Craig Davis,4.380,3.360
2,11:38,3,9,JAX 9,3,13,"Philip Rivers pass complete short middle to Antonio Gates for 9 yards, touchdown",3.360,7.000
2,,,,JAX 2,3,14,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,14,"Nate Kaeding kicks off 68 yards, returned by Tiquan Underwood for 24 yards (tackle by James Holt)",0.000,0.670
2,11:26,1,10,JAX 26,3,14,David Garrard pass complete short right to Mike Sims-Walker for 11 yards (tackle by Quentin Jammer),0.670,1.400
2,10:53,1,10,JAX 37,3,14,David Garrard pass complete deep right to Marcedes Lewis for 26 yards (tackle by Steve Gregory),1.400,3.120
2,10:14,1,10,SDG 37,3,14,David Garrard pass incomplete short right intended for Marcedes Lewis (defended by Brandon Siler),3.120,2.570
2,10:10,2,10,SDG 37,3,14,"David Garrard pass complete short left to Mike Sims-Walker for 12 yards (tackle by Antoine Cason). Mike Sims-Walker fumbles (forced by Antoine Cason), recovered by Kevin Burnett at SDG-25 (tackle by Mike Sims-Walker)",2.570,-0.610
2,10:04,1,10,SDG 25,3,14,Mike Tolbert right tackle for 1 yard (tackle by Sean Considine),0.610,0.200
2,9:27,2,9,SDG 26,3,14,Philip Rivers pass incomplete deep middle intended for Legedu Naanee is intercepted by Courtney Greene at SDG-46 and returned for 8 yards,0.200,-3.050
2,9:16,1,10,SDG 38,3,14,Maurice Jones-Drew left end for 2 yards (tackle by Kevin Burnett and Paul Oliver),3.050,2.780
2,8:38,2,8,SDG 36,3,14,David Garrard pass incomplete short right intended for Mike Thomas is intercepted by Brandon Siler at SDG-29,2.780,-0.870
2,8:31,1,10,SDG 29,3,14,Mike Tolbert right end for 4 yards (tackle by Kirk Morrison),0.870,0.870
2,7:51,2,6,SDG 33,3,14,Mike Tolbert left end for 11 yards (tackle by Sean Considine and Courtney Greene),0.870,1.860
2,7:08,1,10,SDG 44,3,14,Mike Tolbert left tackle for 4 yards (tackle by Courtney Greene),1.860,1.860
2,6:29,2,6,SDG 48,3,14,Philip Rivers pass incomplete short right intended for Legedu Naanee,1.860,1.160
2,6:22,,,,3,14,Timeout #2 by San Diego Chargers,0.000,1.160
2,6:22,3,6,SDG 48,3,14,Philip Rivers pass complete short left to Craig Davis for 5 yards (tackle by Daryl Smith),1.160,0.130
2,5:44,4,1,JAX 47,3,14,Mike Scifres punts no gain,0.130,-2.650
2,5:37,1,10,SDG 44,3,14,Maurice Jones-Drew middle for 7 yards (tackle by Eric Weddle),2.650,3.060
