Unnamed: 0,JAX,SDG
First Downs,20,25
Rush-Yds-TDs,24-71-0,30-151-2
Cmp-Att-Yd-TD-INT,26-42-293-1-4,22-29-334-3-2
Sacked-Yards,2-14,1-8
Net Pass Yards,279,326
Total Yards,350,477
Fumbles-Lost,2-2,1-1
Turnovers,6,3
Penalties-Yards,5-33,4-25
Third Down Conv.,6-12,4-8
Fourth Down Conv.,1-3,0-0
Time of Possession,30:24,29:36
