Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
2,12:47,2,2,BUF 2,6,7,"Michael Vick pass complete short middle to Jeremy Maclin for 2 yards, touchdown",5.720,7.000
2,,,,BUF 2,7,7,Alex Henery kicks extra point good,0.000,0.000
2,,,,PHI 35,7,7,"Alex Henery kicks off 67 yards, returned by Brad Smith for 25 yards (tackle by Kurt Coleman)",0.000,0.480
2,12:36,1,10,BUF 23,7,7,Fred Jackson right guard for 9 yards (tackle by Jamar Chaney),0.480,1.150
2,12:03,2,1,BUF 32,7,7,Fred Jackson up the middle for 3 yards (tackle by Nate Allen),1.150,1.270
2,11:24,1,10,BUF 35,7,7,Fred Jackson right guard for 5 yards (tackle by Nate Allen and Darryl Tapp),1.270,1.400
2,10:44,2,5,BUF 40,7,7,Ryan Fitzpatrick pass incomplete short right intended for David Nelson,1.400,0.700
2,10:40,3,5,BUF 40,7,7,Ryan Fitzpatrick pass complete short right to Fred Jackson for 49 yards (tackle by Dominique Rodgers-Cromartie),0.700,4.840
2,9:48,1,10,PHI 11,7,7,C.J. Spiller left tackle for 5 yards (tackle by Nnamdi Asomugha),4.840,5.080
2,9:21,2,5,PHI 6,7,13,"Ryan Fitzpatrick pass complete short right to David Nelson for 6 yards, touchdown",5.080,7.000
2,,,,PHI 2,7,14,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 35,7,14,"Rian Lindell kicks off 64 yards, returned by Dion Lewis for 21 yards (tackle by Brad Smith)",0.000,0.410
2,9:10,1,10,PHI 22,7,20,"Michael Vick pass incomplete short middle intended for Brent Celek is intercepted by Nick Barnett at PHI-31 and returned for 31 yards, touchdown",0.410,-7.000
2,,,,PHI 2,7,21,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 35,7,21,"Rian Lindell kicks off 54 yards, returned by Riley Cooper for 16 yards (tackle by Bryan Scott)",0.000,0.740
2,8:53,1,10,PHI 27,7,21,Michael Vick pass complete short middle to Clay Harbor for 3 yards (tackle by Kelvin Sheppard),0.740,0.600
2,8:11,2,7,PHI 30,7,21,Michael Vick up the middle for 1 yard (tackle by George Wilson),0.600,0.040
2,7:33,,,,7,21,Timeout #2 by Philadelphia Eagles,0.000,0.040
2,7:33,3,6,PHI 31,7,21,Michael Vick pass incomplete short left intended for LeSean McCoy (defended by George Wilson),0.040,-1.310
2,7:28,4,6,PHI 31,7,21,Chas Henry punts 35 yards,-1.310,-1.200
2,7:20,1,10,BUF 34,7,21,Fred Jackson left guard for 4 yards (tackle by Nnamdi Asomugha),1.200,1.200
2,6:39,2,6,BUF 38,7,21,Brad Smith left guard for -3 yards (tackle by Nnamdi Asomugha),1.200,0.100
2,5:57,3,9,BUF 35,7,21,Ryan Fitzpatrick pass complete short right to C.J. Spiller for 5 yards (tackle by Nnamdi Asomugha),0.100,-0.720
2,5:18,4,4,BUF 40,7,21,"Penalty on Ruvell Martin: False Start, 5 yards (no play)",-0.720,-1.040
2,5:02,4,9,BUF 35,7,21,"Brian Moorman punts 37 yards, returned by DeSean Jackson for 7 yards (tackle by Ruvell Martin)",-1.040,-1.270
2,4:54,1,10,PHI 35,7,21,Michael Vick up the middle for 22 yards (tackle by Jairus Byrd),1.270,2.720
2,4:12,1,10,BUF 43,7,21,Dion Lewis up the middle for 6 yards (tackle by Kelvin Sheppard and Arthur Moats),2.720,2.990
2,3:33,2,4,BUF 37,7,21,Michael Vick pass incomplete short right intended for Jeremy Maclin,2.990,2.280
2,3:28,3,4,BUF 37,7,21,Michael Vick pass incomplete short middle intended for Brent Celek (defended by Jairus Byrd),2.280,0.790
2,3:22,4,4,BUF 37,7,21,"Chas Henry punts 37 yards, touchback",0.790,-0.280
2,3:14,1,10,BUF 20,7,21,Fred Jackson left guard for -2 yards (tackle by Jason Babin),0.280,-0.630
2,2:35,2,12,BUF 18,7,21,Ryan Fitzpatrick pass complete short middle to Fred Jackson for 7 yards (tackle by Dominique Rodgers-Cromartie),-0.630,-0.300
2,2:15,,,,7,21,Timeout #3 by Philadelphia Eagles,0.000,-0.300
2,2:15,3,5,BUF 25,7,21,Ryan Fitzpatrick up the middle for 10 yards (tackle by Nnamdi Asomugha and Jarrad Page),-0.300,1.270
2,2:00,1,10,BUF 35,7,21,Fred Jackson up the middle for 3 yards (tackle by Cullen Jenkins and Jason Babin),1.270,1.130
2,1:27,2,7,BUF 38,7,21,Ryan Fitzpatrick pass complete short middle to Fred Jackson for 3 yards (tackle by Brian Rolle and Nate Allen),1.130,0.830
2,1:19,,,,7,21,Timeout #1 by Buffalo Bills,0.000,0.830
2,1:19,3,4,BUF 41,7,21,Ryan Fitzpatrick pass complete short left to Steve Johnson for 5 yards (tackle by Nate Allen),0.830,1.990
2,0:52,1,10,BUF 46,7,21,"Ryan Fitzpatrick pass complete short middle to Steve Johnson for 5 yards (tackle by Dominique Rodgers-Cromartie). Penalty on Jason Babin: Defensive Offside, 5 yards (no play)",1.990,2.720
2,0:48,,,,7,21,Timeout #2 by Buffalo Bills,0.000,2.720
2,0:48,1,5,PHI 49,7,21,Ryan Fitzpatrick pass incomplete short right intended for Naaman Roosevelt is intercepted by Jamar Chaney at PHI-42 and returned for 10 yards (tackle by Kraig Urbik),2.720,-2.390
2,0:39,1,10,BUF 48,7,21,Michael Vick pass complete short right to Jeremy Maclin for 10 yards (tackle by Leodis McKelvin),2.390,3.050
2,0:33,1,10,BUF 38,7,21,Michael Vick left tackle for 12 yards (tackle by George Wilson),3.050,3.840
2,0:14,1,10,BUF 26,7,21,Michael Vick spiked the ball,3.840,3.300
2,0:13,2,10,BUF 26,7,21,Michael Vick pass incomplete deep right intended for DeSean Jackson (defended by Reggie Corner),3.300,2.610
2,0:07,3,10,BUF 26,7,21,Michael Vick pass incomplete deep right intended for Jeremy Maclin,2.610,1.740
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,7,21,"Alex Henery kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,7,21,Fred Jackson right end for 22 yards (tackle by Nate Allen),0.280,1.730
3,14:30,1,10,BUF 42,7,21,Fred Jackson right end for 4 yards (tackle by Brian Rolle and Jamar Chaney),1.730,1.730
3,13:52,2,6,BUF 46,7,21,Fred Jackson up the middle for 2 yards (tackle by Jarrad Page),1.730,1.290
3,13:08,3,4,BUF 48,7,21,Ryan Fitzpatrick pass complete short middle to Naaman Roosevelt for 7 yards (tackle by Jarrad Page),1.290,2.590
3,12:28,1,10,PHI 45,7,21,Ryan Fitzpatrick pass complete short middle to Naaman Roosevelt for 16 yards (tackle by Brian Rolle),2.590,3.640
3,11:57,1,10,PHI 29,7,21,Fred Jackson left guard for 6 yards (tackle by Jamar Chaney),3.640,3.910
3,11:15,2,4,PHI 23,7,21,C.J. Spiller right end for 8 yards (tackle by Jarrad Page),3.910,4.580
3,10:46,1,10,PHI 15,7,21,Ryan Fitzpatrick pass complete short middle to C.J. Spiller for -2 yards (tackle by Nate Allen and Trevor Laws),4.580,3.680
3,10:03,2,12,PHI 17,7,21,Ryan Fitzpatrick pass complete short left to Steve Johnson for 12 yards (tackle by Jamar Chaney),3.680,6.060
3,9:16,1,5,PHI 5,7,27,"Brad Smith up the middle for 5 yards, touchdown",6.060,7.000
3,,,,PHI 2,7,28,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 35,7,28,"Rian Lindell kicks off 64 yards, returned by Dion Lewis for 19 yards (tackle by Arthur Moats)",0.000,0.280
3,9:05,1,10,PHI 20,7,28,Michael Vick pass incomplete short left intended for DeSean Jackson,0.280,-0.270
3,9:00,2,10,PHI 20,7,28,Michael Vick pass complete short left to Jeremy Maclin for 3 yards,-0.270,-0.560
3,8:31,3,7,PHI 23,7,28,Michael Vick pass complete short middle to Jason Avant for 14 yards (tackle by Leodis McKelvin),-0.560,1.400
3,7:57,1,10,PHI 37,7,28,Michael Vick right tackle for 53 yards (tackle by George Wilson),1.400,4.910
3,7:30,1,10,BUF 10,13,28,"LeSean McCoy left guard for 10 yards, touchdown",4.910,7.000
3,,,,BUF 2,14,28,Alex Henery kicks extra point good,0.000,0.000
3,,,,PHI 35,14,28,"Alex Henery kicks off 71 yards, touchback",0.000,0.280
3,7:17,1,10,BUF 20,14,28,Ryan Fitzpatrick pass complete short middle to Fred Jackson for 20 yards (tackle by Dominique Rodgers-Cromartie),0.280,1.600
3,6:52,1,10,BUF 40,14,28,Ryan Fitzpatrick pass complete short right to Naaman Roosevelt for no gain,1.600,1.050
3,6:16,2,10,BUF 40,14,28,Fred Jackson up the middle for 2 yards (tackle by Jarrad Page and Jamar Chaney),1.050,0.630
3,5:34,3,8,BUF 42,14,28,Ryan Fitzpatrick pass incomplete short middle intended for Brad Smith,0.630,-0.590
3,5:26,4,8,BUF 42,14,28,Brian Moorman punts 56 yards,-0.590,0.380
3,5:16,1,10,PHI 2,14,28,Michael Vick pass incomplete short left intended for LeSean McCoy,-0.380,-0.780
3,5:12,2,10,PHI 2,14,28,"Michael Vick pass complete deep left to Jason Avant for 35 yards (tackle by Jairus Byrd). Jason Avant fumbles (forced by Jairus Byrd), recovered by Jairus Byrd at PHI-37 (tackle by Jason Avant)",-0.780,-3.120
3,4:59,1,10,PHI 37,14,28,Fred Jackson left guard for 1 yard (tackle by Mike Patterson and Moise Fokou),3.120,2.710
3,4:14,,,,14,28,Timeout #1 by Buffalo Bills,0.000,2.710
3,4:13,2,9,PHI 36,14,28,Ryan Fitzpatrick pass complete short middle to Naaman Roosevelt for -2 yards (tackle by Darryl Tapp),2.710,1.750
3,3:32,3,11,PHI 38,14,28,"Ryan Fitzpatrick pass complete short middle to Fred Jackson for 9 yards (tackle by Nate Allen). Penalty on Nnamdi Asomugha: Face Mask (15 Yards), 15 yards",1.750,4.650
3,3:10,1,10,PHI 14,14,28,Fred Jackson left tackle for 2 yards (tackle by Juqua Parker and Jason Babin),4.650,4.330
3,2:24,2,8,PHI 12,14,28,Ryan Fitzpatrick pass complete short right to Scott Chandler for 4 yards (tackle by Jarrad Page),4.330,4.280
3,2:01,3,4,PHI 8,14,28,Fred Jackson right tackle for 1 yard (tackle by Jamar Chaney and Jarrad Page),4.280,2.990
3,1:18,4,3,PHI 7,14,31,Rian Lindell 25 yard field goal good,2.990,3.000
3,,,,BUF 35,14,31,"Rian Lindell kicks off 72 yards, touchback",0.000,0.280
3,1:15,1,10,PHI 20,14,31,Michael Vick pass complete short left to Jason Avant for 17 yards (tackle by Leodis McKelvin),0.280,1.400
3,0:31,1,10,PHI 37,14,31,Michael Vick pass incomplete,1.400,0.860
3,0:26,2,10,PHI 37,14,31,LeSean McCoy right end for 32 yards (tackle by Jairus Byrd),0.860,3.510
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BUF 31,20,31,"Michael Vick pass complete short left to DeSean Jackson for 31 yards, touchdown",3.510,7.000
4,,,,BUF 2,21,31,Alex Henery kicks extra point good,0.000,0.000
4,,,,PHI 35,21,31,"Alex Henery kicks off 70 yards, touchback",0.000,0.280
4,14:51,1,10,BUF 20,21,31,Ryan Fitzpatrick pass incomplete short middle intended for Naaman Roosevelt (defended by Jamar Chaney),0.280,-0.270
4,14:47,2,10,BUF 20,21,31,Ryan Fitzpatrick pass complete short left to Fred Jackson for -3 yards (tackle by Nate Allen),-0.270,-1.510
4,14:02,3,13,BUF 17,21,31,Ryan Fitzpatrick sacked by Cullen Jenkins for -5 yards,-1.510,-2.490
4,13:44,4,18,BUF 12,21,31,"Brian Moorman punts 64 yards, returned by DeSean Jackson for 20 yards (tackle by Corey McIntyre)",-2.490,-1.860
4,13:32,1,10,PHI 44,21,31,Michael Vick pass complete short left to Brent Celek for 6 yards (tackle by Bryan Scott),1.860,2.130
4,13:06,2,4,,21,31,Michael Vick pass complete short middle to DeSean Jackson for 26 yards (tackle by Leodis McKelvin),2.130,3.970
4,12:37,1,10,BUF 24,21,31,Michael Vick pass complete short left to LeSean McCoy for 16 yards (tackle by Jairus Byrd),3.970,5.370
4,12:04,1,8,BUF 8,21,31,Michael Vick left tackle for 2 yards (tackle by Alex Carrington),5.370,4.950
4,11:26,2,6,BUF 6,21,31,"Michael Vick up the middle for 6 yards. Penalty on Danny Watkins: Illegal Use of Hands, 10 yards (no play)",4.950,3.340
4,11:19,2,16,BUF 16,21,31,"Michael Vick sacked by Arthur Moats for -1 yards. Penalty on King Dunlap: Offensive Holding, 10 yards (no play)",3.340,2.190
4,10:55,2,26,BUF 26,21,31,LeSean McCoy up the middle for 5 yards (tackle by George Wilson),2.190,2.210
4,10:12,3,21,BUF 21,21,31,Michael Vick pass complete short middle to LeSean McCoy for 4 yards (tackle by Bryan Scott),2.210,2.310
4,9:33,4,17,BUF 17,24,31,Alex Henery 35 yard field goal good,2.310,3.000
4,,,,PHI 35,24,31,"Alex Henery kicks off 68 yards, returned by Brad Smith for 13 yards (tackle by Colt Anderson)",0.000,-0.380
4,9:25,1,10,BUF 10,24,31,"Fred Jackson up the middle for 8 yards (tackle by Jamar Chaney). Penalty on Kraig Urbik: Offensive Holding, 5 yards (no play)",-0.380,-0.570
4,9:15,1,15,BUF 5,24,31,Ryan Fitzpatrick pass complete short middle to Naaman Roosevelt for 20 yards (tackle by Nate Allen),-0.570,0.610
4,8:40,1,10,BUF 25,24,31,Fred Jackson up the middle for 11 yards (tackle by Nate Allen),0.610,1.330
4,7:55,1,10,BUF 36,24,31,Fred Jackson right guard for 2 yards (tackle by Kurt Coleman and Moise Fokou),1.330,1.060
4,7:14,2,8,BUF 38,24,31,Fred Jackson left guard for 1 yard (tackle by Cullen Jenkins),1.060,0.500
4,6:32,3,7,BUF 39,24,31,Ryan Fitzpatrick pass complete short middle to Steve Johnson for 4 yards (tackle by Nate Allen),0.500,-0.520
4,5:47,4,3,BUF 43,24,31,"Brian Moorman punts 57 yards, touchback",-0.520,-0.280
4,5:39,1,10,PHI 20,24,31,Michael Vick pass complete short right to Jason Avant for 8 yards (tackle by Jairus Byrd),0.280,0.810
4,5:06,2,2,PHI 28,24,31,Michael Vick pass complete short middle to LeSean McCoy for 3 yards (tackle by Arthur Moats),0.810,1.000
4,4:54,1,10,PHI 31,24,31,Michael Vick pass complete short middle to DeSean Jackson for 11 yards (tackle by Bryan Scott),1.000,1.730
4,4:12,1,10,PHI 42,24,31,Michael Vick pass complete short middle to Jason Avant for 11 yards (tackle by Bryan Scott),1.730,2.460
4,3:34,1,10,BUF 47,24,31,Michael Vick pass complete short middle to Jason Avant for 15 yards (tackle by Jairus Byrd),2.460,3.450
4,3:00,1,10,BUF 32,24,31,Michael Vick pass complete short right to DeSean Jackson for 3 yards (tackle by Arthur Moats),3.450,3.310
4,2:23,2,7,BUF 29,24,31,LeSean McCoy left tackle for 4 yards (tackle by Nick Barnett),3.310,3.140
4,2:00,3,3,BUF 25,24,31,Michael Vick pass incomplete short left intended for Jason Avant is intercepted by Nick Barnett at BUF-26 and returned for 16 yards (tackle by Todd Herremans),3.140,-1.730
4,1:49,1,10,BUF 42,24,31,Fred Jackson right tackle for -1 yards (tackle by Trevor Laws and Mike Patterson),1.730,1.050
4,1:45,,,,24,31,Timeout #1 by Philadelphia Eagles,0.000,1.050
4,1:45,2,11,BUF 41,24,31,Brad Smith up the middle for 8 yards (tackle by Brian Rolle and Moise Fokou),1.050,1.420
4,1:38,,,,24,31,Timeout #2 by Philadelphia Eagles,0.000,1.420
4,1:38,3,3,BUF 49,24,31,Brad Smith up the middle for 2 yards (tackle by Nate Allen and Cullen Jenkins),1.420,0.000
4,1:23,,,,24,31,Timeout #3 by Philadelphia Eagles,0.000,0.000
4,1:23,4,1,PHI 49,24,31,"Penalty on Juqua Parker: Encroachment, 6 yards (no play)",0.000,2.720
4,1:23,1,10,PHI 43,24,31,Ryan Fitzpatrick kneels for -2 yards,2.720,1.910
4,0:41,2,12,PHI 45,24,31,Ryan Fitzpatrick kneels for -1 yards,1.910,1.090
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
